id;description;vio
882029928502098_aug;Thomas, was ist los mit dir?? Schwierigkeiten?? Tipp: Nimm deine Muschi und schlag die Einfahrt. In Ordnung?;call2violence
1244_aug;Ich werde dich so schlagen, wenn ich sehe, dass ich auch aus München komme.;prospensity
1779_aug;Liebe Leute, die Polizei bricht ihren Eid und Verrat begeht sie mit allem, was Sie in der Hand zu bekommen schlägt sie zu brechen ACAB;call2violence
857923667579391_aug;Selbstmord gegen Recht!;other
1768_aug;Die Wahrheit kann sehr weh tun. Sie links Abschaum. Genießen Sie sich und Ihre Linke muss sofort an die Wand gelegt werden. Sie und Ihre Art seit Parasiten. Mensch zu Mensch, Sie vermissen die Eier. Schieben Sie diese Ihre Weisheiten unter Ihre Vorhaut. Hartz IVIer;call2violence
857865334251891_aug;Menschen wie Olli haben es nicht verstanden, denn der Muslim würde dasselbe mit Ungläubigen tun (sie sind alle andere Muslime auf dieser Welt), nämlich sie ausrotten und die Weltherrschaft erreichen wollen. Die Wahrheit tut immer weh.;glorification
1010832542288502_aug;Eigentlich hasse ich Gewalt und Krieg, aber es ist an der Zeit, über das Letzte nachzudenken, was uns bleibt, um unsere Werte zu verteidigen. Kämpfen wir gemeinsam gegen den Terror, egal aus welcher Ecke er kommt. Die Welt muss über und mit PEGIDA aufsteigen, um dieses Chaos zu beenden.;call2violence
1589_aug;Der Jude soll Korona und die Lugen-Pandemie sein, er würde der totale Mensch sein, mit seinen Spiringe-Würden, er würde über seine Juden-Farmen hinwegkommen, er würde seine Männer über seine verkauften Politmarionetten ein und würde ein Judenratten-Spiring sein, der Jude ist der Teufel, kein Mann gibt ein Parasit!;other
1238_aug;Ich bin voll davon... .. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .;prospensity
1108081512563604_aug;schießen scharf......dann ist es wieder sehr schnell ruhig ????;call2violence
1189_aug;Töte endlich diese skrupellose Merkel,;call2violence
982667778438312_aug;Völlig geil wird die Lügenpresse?? im Fernsehen gezeigt, so dass Ungarn ohne echten Grund die armen Flüchtlinge angriff. Unterstützt von Bildern mit weinenden Kindern ????? und den murmelten Brandstiftern und Steinwerfern, die sie nicht zeigen??;other
858382724200152_aug;Die Leute, egal, was die Medien berichten, wir müssen weiter!!! Denn was hier vor sich geht, ist nicht tragbar!!! Jetzt machen sie schon Ausländer Aussagen, weil sie von Deutschen angreifen würden und wir wissen, dass Sie schnell eine Meinung wie diese in Wort oder Bild bilden können!!! Und natürlich sagen Sie, es war Pegida oder es geht von Pegida!!!;other
1096014377103651_aug;Winter Service. Melden Sie sich an und räumen Sie an der Seite.;call2violence
857756150929476_aug;Es gab Drecksnazis darin, die es verdienten, zu streben, für die Kinder Frauen Männer, die unschuldig in die Gaskammer geschickt wurden, den Tod verdienen;support
1095917270446695_aug;...können sie nicht mit Gummikugeln gereinigt werden?;support
951882898183467_aug;Guter Anfang! Und - ja, so weit bin ich jetzt, dass ich glücklich bin, wenn es diejenigen trifft, die selbst sind. Ich habe auch live erlebt, wie ein solcher Immigration Fan plötzlich eine völlig andere Meinung hatte. Dieser ist wahrscheinlich schwerer online, aber das ist wahrscheinlich nur eine Frage der Anzahl solcher Vorfälle.;support
993956873976069_aug;Warum fragen? AREST UND HARTZ4;other
1107011946003894_aug;Wir haben fast 3.000 Moscheen in Deutschland, das ist genug. In der Türkei gibt es nur 16 Kirchen und die Muselmen wollen weitere 120 Moscheen hinzufügen? Wahrscheinlich ein Knall, aber es ist eine gute Sache. Begraben Sie einen toten Sau überall als Grundstein, so dass Frieden kommt! Und vergossen Schweineblut, dann gibt es nur eine Woche weniger Blutwurst als üblich, Sie können damit leben, aber keine Moschee, Null, nichts, nada!;call2violence
982709488434141_aug;Warum hat die Polizei nicht auf die Steinwerfer geschossen?;support
856906744347750_aug;Im Namen der Terrororganisationen IS und & Boko Haram danken wir unseren treuen Freunden in Deutschland. Weiter so. Gleichzeitig möchten wir Ihnen danken, dass Sie bald zu uns eingeladen haben. Und zu der Atmosphäre, die wir gemeinsam mit Grönemeyer & Co singen: Warte, warte, warte kurz, bald kommen wir zu Ihnen, mit dem kleinen Chopper machen wir aus Ihnen Scrape-Fleisch. Aus den Augen machen wir Sulks, aus dem Hintern machen wir Speck, aus dem Darm machen wir Würste und den Rest werfen wir weg.;prospensity
856742114364213_aug;Sie ist wahrscheinlich nicht unter einen Ehrenmord gegangen, weil sie Deutscher war.;other
882681251770299_aug;Es könnte ein kleiner Drogenstreit gewesen sein, nach ein paar ersten Recherchen, die Sie jeden Tag hören, also sollten Sie diesen Vorfall nicht als tragisch betrachten.;support
894834950554929_aug;Zahlen hin oder her.Ich kenne selbst eine ältere Dame, die von denen begraben wurde.;other
982664341771989_aug;Die Ungarn dürfen nicht beneiden. Wenn der Zaun scheitert, Orban scheitert und Orban scheitert, kommt Jobbik und Jobbik ist die NPD wie Kindergarten Krabbelgruppe. Die Menschen in sowjetisch unterjochten Europa gewannen 1989 ihre eigene Reisefreiheit und nicht die Freiheit von Fremden zu Millionen von ILLEGAL, das Land zu erobern. Statt Milliarden für nutzlose Bankrettungen hätte man lieber in einen angemessenen Grenzschutz investiert.;other
1107835912588164_aug;Halt dich raus und hau ab!!;call2violence
1095991703772585_aug;Ein australischer Truck mit 3 Kleiderbügeln an der Rückseite und durch. Sie kommen nicht mehr in den Weg, wetten? Denn wenn sie über 70 Räder sind, übernimmt die Sonne den Rest und dann bläst der Wind die Pappnasen von der Straße.;call2violence
1624_aug;Diese Verbrecher in der Medizin werden mit Halsschuss hingerichtet. #Nürnberger Codex;call2violence
982639441774479_aug;Gewalt schafft immer Gegengewalt;other
1096062980432124_aug;Vollgas und höher = D;call2violence
856826784355746_aug;Nach einer harten Niederlage im Zuge seiner Bewerbung an die kleine Gruppe unbeugsamer Rebellen gegen das islamistische Establishment entschied sich unser unerschrockener Kreischaer Wilhelm Rainer Kevin für den deutschen Westen! http://www.youtube.com/watch?v=-w5IcHm_OnE;glorification
951878684850555_aug;Die Kulturprofis unterscheiden nicht zwischen ihren vermeintlichen Befürwortern und den Gegnern des Islam. Für sie sind wir alle nur Dreck. Das muss ein Ende haben! Ich glaube schon, dass am Montag bald nichts bringen wird. Eine echte Gefahr für den Islam sieht anders aus. Wir gehen und kämpfen, stehlen und handeln. Lassen Sie uns montags über die Prager Straße in Dresden laufen und den Marsch zu den Tunesiern sprengen. Die Bürger dort werden uns danken! Die Aktionen müssen konkreter werden!;call2violence
882705221767902_aug;und jeder ein Harem, so dass sie nicht mehr zu vergewaltigen;other
1063231297048626_aug;Schenkung Steakmesser Set...;support
966993583339065_aug;"Bitte lesen und verbreiten Sie: U.S. think tank arbeitet unter deutscher Tarnung, um Traktornetze zu organisieren.Das gleiche Netzwerk wird der Methode nach der Destabilisierung durch den ""Arabischen Frühling"" und die Unruhen in Syrien und Venezuela zugeordnet. http://quer-denken.tv/index.php/1626-was missbräuchlich by-das-ayn-rand-institute-through-fluthilfe-in-";other
1052408591464230_aug;PEGIDA hat bisher fast keine Gewalt. Versteckte Demonstranten auf der anderen Seite können gezielt eingesetzt werden, damit Autos nicht wieder in Brand gesetzt werden.;other
1152522734786148_aug;"Gut zu wissen, wenn diese Jungs von der AWO das nächste Mal meine Türklingel klingeln, um Spenden zu sammeln, werde ich ihnen einen gepflegten ""Arschstoß"" geben.";prospensity
894628307242260_aug;Wenn Sie de Maizière bewundern und vor allem Maas so viel wie dieser Gentleman, er disqualifiziert sich wahrscheinlich will sich mit seiner Aufstachelung auf die Mauer Mörder Partei PDS für einen Posten, der nicht sehr erfolgreich als Schriftsteller sein, Ich möchte ihm in einem persönlichen Gespräch sagen, was ich über ihn denke, aber die rote Wurst nicht einmal verdient meinen Hass, er ist definitiv ein Kandidat für das junge Lager, nur Angst, dass es keine Prüfung, weil auch die Esel und Maden emigrieren, ist sicherlich ein Qualitätsanwalt;other
856954691009622_aug;Widerstand ist wichtig, bevor dies geschieht. 2099 haben wir, wenn die Crew nicht mehr die Fähigkeit beendet, uns gegen äußere Einflüsse zu verteidigen.;call2violence
1107839852587770_aug;Gibt es kein Tränengas mehr, keine Gummikugeln und keine Wasserkanonen mehr???;support
856773104361114_aug;Frauen wie Sie brauchen wir später. .....als Kanonenfutter Monika Bohn. ...;call2violence
1134090383296050_aug;Ich muss nicht persönlich Krebs bekommen, um zu wissen, dass ich es nicht in meinem Körper haben will! Es ist Zeit, dass dieser ganze Politiker mit Kraft von ihrem Tron werfen vollgepackt!;call2violence
1063444290360660_aug;Solche Aussagen mussten von einem wahrscheinlich mueslikopp kommen.. xD ey hätte ich lieber nichts zu essen, etc.. als mich zb so zu einem geistig kranken und asozial gelogenen Socken wie zu unseren Politfickern und Antifagesindel usw. zählen... das einzige, was diese Herrscher in ihrem Leben gelernt haben, ist, wie man das Geld am besten und schnell aus der Tasche legt und sie für dumm verkaufen kann.. aber um ihre eigene Dummheit zu erkennen, gibt es wahrscheinlich einfach einen Mangel an grauen Zellen, so dass sie wahrscheinlich den Scheiß glauben würden, den sie jeden Tag am Ende des Tages gut essen.. einfach nur widerlich, ehrenlos und bemitleidenswert diese Fäule... um nicht über die eigentlichen Antifans überhaupt zu sprechen, würden sie wahrscheinlich sogar Ihre Erstgeborenen für den schnellen Teuro verstehen, weil sie nichts auf der Kette in ihrem Leben bekommen können. zbbzesse kann nicht riskieren, wieder ein anständiges Profil zu bekommen.;support
857378444300580_aug;Nun, das bestätigt wieder meine These! Außer Beleidigungen und die Schuld aller anderen bringt niemanden weiter! Aber gut! Ich sprach auch mit denkenden Menschen... Behalte deine Köpfe in deinem Kopf wegen mir!!!;support
882683065103451_aug;Wenn man sich selbst so anhört, müsste man mit Gewalt dagegen vorgehen, und das sollte es nicht sein. Aber wenn das so weit geht, wird es dazu kommen.;support
1181_aug;Sie sollten alle AfDlers töten oder tanken! Sie sind es nicht wert zu leben! So jetzt bin ich neugierig, ob ich eingesperrt werden! Lach mich weg!;call2violence
1256_aug;Ich werde dir Ali Utlu machen.;prospensity
1108057199232702_aug;Reinballing, Grenzschutz;call2violence
1642_aug;In solchen Clips hoffe ich nur, dass jemand von der Seite ins Bild kommt und ihnen einen Haufen Blei in den Schädel schießt.;support
1108068935898195_aug;Was sind diese teuren Waffen, die unsere Polizei gekauft hat, um anzustarren????;call2violence
1065221136849642_aug;Sie würden die Gitarre nehmen, den Besitzer damit töten und weglaufen...;other
1096752023696553_aug;"Ein sehr gutes Buch, das den Muslimen und dem Islam erklärt, wie krank und gestört diese ""Religion"" und ihre Anhänger sind. Mohamed ist ein geistig gestörter Massenmörder und Kinderschänder, sagt in diesem Buch. Mohamed heiratete und vergewaltigte das 9-jährige Mädchen Aisha.";other
857922957579462_aug;Benzin, du brauchst nicht mehr zu lesen, um den Täterkreis einzugrenzen.;other
