id;description;def
True_aug_56;- du geile Sau - dein Lächeln ist fordernd und flehend, - du Luder -;True
True_aug_57;Unerträglich, Rassistisch und der letzte Abschaum für Deutschland!;True
True_aug_58;"Es ist eine SCHANDE, was wir uns von diesen KRIMINELLEN &amp; ungebetenen ""GÄSTEN"" in unserem Land gefallen lassen!🤮Raus aus Deutschland!";True
True_aug_59;Sie sind eine Schande für dieses Land.;True
True_aug_60;Als Deutscher kann man sich nicht für diese Nazis schämen, man kann sie nur für ihre Erbärmlichkeit verachten!;True
True_aug_61;Genau SO sehen die auch aus: miesmuffelige Deutschland-Schlapphüte!;True
True_aug_62;Das einzig Gute an dieser kriminellen Posse ist, dass es dem Hund bei seiner neuen Besitzerin jetzt hoffentlich besser geht, da die neue Besitzerin die Behandlungskosten tragen kann.;True
True_aug_63;Als Regierungsprecher muss man dumm sein.;True
True_aug_64;Sollte man alle restlos ausweisen aus Deutschland und heim schicken!;True
True_aug_65;Eine fällige Rosskur für den deutschen Dumm-Michel und linksgrünen Wolkenkuckucksheimer.;True
True_aug_66;Wann endlich wird auch der / die dümmste GRÜNE wissen, wann er / sie die Fresse zu halten hat.;True
True_aug_67;Verstehe nicht wieso die Leute schockiert sind, dass einer wieder ZDK der aussieht, als wären seine Chromosomen im Kern behindert und additional auftretend, ein dummer Hurensohn ist.;True
True_aug_68;Und jetzt stellt dieser rechtspopulistische Clown hin und spielt mit niederträchtigster Heuchelei die beleidigte Leberwurst.;True
True_aug_69;Eine Dauermedikation gegen Degeneration und fortgeschrittenem Schwachsinn.;True
True_aug_70;Der gehört wie der gesamte groko Misthaufen in eine idioten Anstalt eingewiesen.;True
True_aug_71;Wie die Corona Faschisten unter dem hashtag heulen 🤪Bock stark von jedem dieser Schauspieler danke an euch;True
True_aug_72;Wer die Dummschwätzer noch ernst nimmt, der ist selber schuld und dem ist nicht mehr zu helfen!;True
True_aug_73;Wer diesen Philodoofus mit seinen allen wissenschaftliche Standards unterbietende Idiotien (z.B_ Bekämpfung des Islamismus == Antisemitismus) ernst nimmt, der ist nur noch dümmer als er selber.;True
True_aug_74;"Vorallem, du kommst mit Null Fakten, dummes Rumgetrolle und dämliche Maximalforderungen, und erwartest, dass man deine ""Meinung"" toleriert?";True
True_aug_75;Girl deine bullshit-Meinung die auf nichts festes basiert muss keiner tolerieren.;True
True_aug_76;Vielleicht haltet ihr Egoisten mal die Klappe mit euren hirnbefreiten Forderungen eure scheiß Bequemlichkeit und mangelnde Lust unangenehme Realitäten zu konfrontieren über den Schutz von Menschenleben zu stellen;True
True_aug_77;Am liebsten würde ich jeden der sich getriggert fühlt meinen Impfpass unter die Nase reiben.;True
True_aug_78;Und wenn du die AfD wählst, nehme ich deine Mutter so krank durch dass sie keine Pussy mehr haben will du hruensogn nazi;True
True_aug_79;könnt ihr AfDHasser eigentlich noch in den Spiegel sehen um vor Haß nicht zu kotzen ?';True
True_aug_80;Wie kann man so ein Hetzer, Verleumder und Idiot sein?;True
True_aug_81;Da fällt mir nur noch ein:wie kann man so ignorant, ungebildet ,naiv und dumm sein.;True
True_aug_82;Ihr seid einfach nur ekelhafte Unmenschen.;True
True_aug_83;Du Hurensohn Hater deine Mutter gibt es als 0815 Schlampe auf einer 10 Jahren alten Porno CD die von obdachlosen Nazis genutzt wird.;True
True_aug_84;und sind der Abschaum der Menschheit!;True
True_aug_85;Was die mal wieder bewiesen hat: Das einzige was die ArschgeigenFürDummhausen können ist Scheiße labern.;True
True_aug_86;Dein Gesichtsausdruck, wenn deine 3 Erbsen in deiner Hohlbirne realisieren, dass Dummes Nachplappern von schweren Vorwürfen ohne Belege ziemlich dämlich war!;True
True_aug_87;"Alles besser als das braune Gesindel von den ""Affen für Dumpfbacken"".";True
True_aug_88;Es ist eine Schande was hier passiert, jetzt regiert Merkel bis ins Wohnzimmer, diese Person ist ein Satan und Monster, mich gruselt es vor dieser Person, das ist kriminell;True
True_aug_89;Merkel und die ganzen dummen Schwachköpfe sind für mich Betrüger und gehören alle für immer weggesperrt;True
True_aug_90;Die Dämonisch Dunkelheit Merkel und ihr Regime sind die größten Verbrecher und Lügner Deutschlands.;True
True_aug_91;Merkel hat alles zu Scheiße verwandelt.;True
True_aug_92;Wenn ihr euch mit eurem feigen Schundjournalismus der Merkeldiktatur beugt, dann geht auch mit ihr unter;True
True_aug_93;Du bist einfach fucking AfD Dreckspack.;True
True_aug_94;Nazis bleiben Nazis und Schäuble ein schwarzer - Koffer Mann 🤓 aus unserm Bundestag#FckAfD lügt#September2021KANN MAN ABWÄHLEN#NieMalsCDU#NieMalsCSU#NiemalsFDP#NieMalsSPD#NieMalsAfD#CDUrausausderRegierung;True
True_aug_95;Und Euer ganzer Sauhaufen sollte komplett verboten werden, denn ihr seit nur Faschisten.;True
True_aug_96;Was für ein kleiner feiger besoffener Nazi Hurensohn.;True
True_aug_97;Bye, bye CDU, fuck you.;True
True_aug_98;Deine Mutter hatte einen Gang bang mit afdlern diese Nazi Schlampe.;True
True_aug_99;Da ist er wieder, der Hauptschulabschluss-AFD-wählende Jürgen der nichts kann außer dumme Verschwörungstheorien zu;True
True_aug_100;Sie hat die deutschen Juden verraten und verkauft.;True
True_aug_101;Mit Verlaub, dieser Links/Grüne Öko Faschismus geht mir nur noch auf den Sack.;True
True_aug_102;Die Grünen, FridaysForFuture oder ... das sind -Faschisten, denen nicht die Natur am Herzen liegt, sondern deren linksextremistische Ideologie.;True
True_aug_103;, Verdi, SPD und Migranten zeigt mal wieder seine hässliche, linksgrüne Fratze!;True
True_aug_105;Die größte grüne nazi und terror propaganda der Geschichte!;True
True_aug_106;Mir tut Frau Merkel leid, die sich seit Jahren mit soviel dummen und unfähigen Politkern rumärgern muss!!;True
True_aug_107;Es wird höchste Zeit, dass Frau Merkel diesen überforderten und auf dem rechten Auge blinden Möchtegern-Innenminister aus dem Amt entlässt.;True
True_aug_108;Die Volksterror Merkel hat es geschafft einen Haufen von Versagern in der Regierung um sich zu scharenUnd weil diese es wissen lecken sie der am Arsch;True
True_aug_109;Komplett irre oder voll im Tunnelblick welchen Stuhl sie noch ansägen können und in welchen Rücken ihre Dlch gerade paßt, während das land auf die größte Nachkriegskatastrophe zurast.;True
True_aug_110;Blöd wie Sie sind könnte man es ja so meinen.;True
True_aug_111;weil es Ihre Meinung ist - wie Blöd muss man sein;True
True_aug_112;Das kommt davon wenn man blöd ist.;True
True_aug_113;Sorry, aber Dummheit muss bestraft werden und für irgendwen bürgen ist einfach eins: abgrundtief dumm.;True
True_aug_114;Der Tag wird kommen du arroganter Arschloch wo du endlich mal verpissen wirst!;True
True_aug_115;Dieser Frau noch ein Podium zu geben ist So was von Idiotisch.;True
True_aug_116;Nun ist durch dieses dumm Geschwätz dieser Frau mein Tag im *****!;True
True_aug_117;Diese Dame ist derart inkompetent.;True
True_aug_118;Wunderbar, wie die sich als verlogenes Miststück outet.;True
True_aug_119;Was für ein hysterischer Blödsinn!;True
True_aug_120;Eine geistig verblödete Bundesregierung mit enormen Fachkräftemangel heißt alle Schmarotzer herzlichen Willkommen und verköstigt sie auf Kosten des Steuerzahlers.;True
True_aug_121;Alle Illegalen Ausreise pflichtigen Asylbetrüger nach Hause schicken.;True
True_aug_122;Ab in Abschiebelager und ohne Rücksicht auf irgendwas weg mit den Kriminellen.;True
True_aug_123;Korrupte Familie Laschet bedient sich Mafiamethoden.;True
True_aug_124;wieder so ein hochqualifizierter, an-ungelernter Politiker, der von nichts eine Ahnung hat und versucht mit seinen revolutionären Gedanken, die mittlerweile führungslose Republik in Aufruhr zu versetzen!;True
True_aug_125;Noch so ein irrer ala Trump der die klappe weit aufreisst.Da ist aber der grösste chaot favorit bei denen.;True
True_aug_126;Mir fehlen echt mal wieder die WorteVon was für wahnsinnigen Deutschland regiert wird?;True
True_aug_127;Für mich Unfassbar was diese Groß Kotz Politiker in Berlin /Europa so alles von sich geben, der Mann ist Demokratisch Gewählt worden.;True
True_aug_128;Meinkezz Majestik) - Kann jeder verblendete Depp paid by Merkel auch nochmal drüber nachdenken!;True
True_aug_129;Ein weiterer geistiger Tiefflug der Immer wieder erstaunlich, dass man mit sowenig Hirn lebensfähig ist.;True
True_aug_130;Auf einer Pegida Demo die am lautesten schreienden Idioten auf die Listen setzen.;True
True_aug_131;Wann wird dem letzten Dummen endlich klar, dass diese Leute Nazis reinsten Wassers sind!;True
True_aug_132;Ihr widerliches Rechtes Gesindel gehört weggesperrt!;True
True_aug_133;Möge diesen Missgeburten der Sack ab fallen!;True
True_aug_134;"Guten Tag sehr geehrte Damen und Herren Dies dummen Glatzen (entschuldigen Sie bitte den Ausdruck) können Ihren ""Kopf"" jetzt nicht einmal mehr zum Haare schneiden benutzen.";True
True_aug_135;Du bist der geborene NSDAP Zujubler, heute AfD, einfach nur abartig und blöd.;True
True_aug_136;Schickt diesen elendiger Faschist und Anhaenger von Adolf Hitler mal bei mir vorbei, ich zeige diesen Faschisten was ich mit Anhaenger von Adolf Hitler mache!;True
True_aug_137;Halten Sie bitte die Fresse! So geht links/ grün.;True
True_aug_138;Haltet mal euer Maul, ihr 'über alles' Stänkerer!!;True
True_aug_139;Man muss schon echt hohl in der Birne sein um so eine gequirllte Scheiße von sich zu geben;True
True_aug_140;Solche Typen sollte man mit aller Gewalt stoppen und zum Teufel;True
True_aug_141;Schämen sollte sich jeder der diesen Spuk gutheißt.;True
True_aug_142;Hört auf so bekloppt zu reden da bekommt man Ohrenschmerzen 🤯;True
True_aug_143;Deine Rassistische Scheiße gehört verboten.;True
True_aug_144;Kleiner Rassist das bist du, sonst nix.;True
True_aug_145;Halt einfach mal du die Fresse, du FfF Dummbot.;True
True_aug_146;Halt die Klappe und verzieh dich in deine nazi bubble.;True
True_aug_147;Hier sammeln sich direkt die drecks Nazis unter diesem Beitrag - mit ihrem peinlichen Gejammer um die bösen Immigranten, die ausnahmslos ,braven Deutschen’ und ihren Frauen etwas Böses wollen.;True
True_aug_148;"Ihre ""Empörung"" ist ein Schlag ins Gesicht jedes Deutschen der durch die ungewollten Flüchtlinge angegriffen, geschlagen vergewaltigt oder sogar getötet wurde.";True
True_aug_149;Was ist los mit dir du kleiner nuttensohn??;True
True_aug_150;"Das einzige Wort was dieses jämmerlich Wesen Kind ist ""Nazi"".";True
True_aug_151;Ein Nazi durch und durch.;True
True_aug_152;Sofort beleidigt, sofort Blutdruck auf 180, sofort „Du Nazi“.;True
True_aug_153;Jeder der Kollektiv Denken und das Marginalisieren von vielen aufgrund von wenigen für richtig hält, ist ein Nazi.;True
True_aug_154;Nur weil du Nazi das behauptest, um uns normale Menschen das Sprechen zu erschweren oder zu verbieten, wird es nicht wahr.;True
True_aug_155;Antisemiten sind immer Ar***l*cher – ganz egal, wo sie herkommen.;True
True_aug_156;Jaja Du psychopatisierte Ausgeburt des neuen platzenden Eugenik Rassenwahns gegen die MenschheitWer gegen den Querschnit der demokratischen Gesellschaft ist, ist ein NATO Krieg Nazi Kapo und kein Antifaschist ://;True
True_aug_157;Igitt, ein Nazi, Rechtsradikaler und Misogynist!;True
True_aug_158;"Mit den Worten ""Freiheit""Ihr seid einfach nur scheiß Nazis!!";True
True_aug_159;Feinde der Menschen, Feinde der Demokratie, dreckige Hetzer, jämmerliche Lügner, arrogante Flegel und im Grunde zu nichts zu gebrauchen.;True
True_aug_160;Wie dumm darf man denn sein?;True
True_aug_161;Wie dumm kann man sein?;True
True_aug_163;Wie kann man so dumm sein?;True
True_aug_164;ist der größte Maulaffe der sich selbst für ach so wichtig hält.;True
True_aug_165;Dem Sultan den Hintern streicheln und seine deutsche Staatsbürgerschaft aufgeben, nie mehr wieder in Deutschland auftreten und Klappe halten!;True
True_aug_166;Du kannst nicht als Deutscher einen Türken als kanacke beleidigen hurensohn kanacke;True
True_aug_167;Ihr seit ein verlogenes Pack, ausgebildete Schläger die für Ihre Straftaten ,nicht belangt werden!;True
True_aug_168;"da ladet ihr von eueren Kindern Fotos hoch und perverse Schweine, verfremden diese Fotos &amp; teilen diese in und die tolerieren in ihrer Partei mutmaßliche Kinderschänder wie inkompetente Frau";True
True_aug_169;Lebenslanges Stadionverbot,sämtliche Regresskosten von diesem Irren einkassieren,und in den Knast!!;True
True_aug_170;Wenn sich das bewahrheitet:Widerlich hoch drei,und hoffentlich kommt dieses Subjekt möglichst lange in den Knast!!;True
True_aug_171;Bitte mindestens 10 Jahre Haft im dunkelsten italienischen Knast!;True
True_aug_172;"Aus Mitteln der BRD - steuerzahler finanziert!Merkel Spahn Altmeier Scholz &amp; Lambrecht gehören wegen Inkompetenz und Korruption ins Gefängnis-aber GENERALBUNDESANWALT ist parteilicher Handlanger der Regierung!";True
True_aug_173;Wo findet Ihr immer solche Dummschwätzer und Dissidenten die für paar Euro schovinistisch seines Gleichen gut und gerne schlecht redeen ?;True
True_aug_174;Was, ist das denn, die ihr Leben lang gearbeitet haben, sollen für die Faulen bezahlen, der Habeck spinnt komplett;True
True_aug_175;Wieder ein Grund mehr Moslems in Muselmanenländer abzuschieben da sie uns ihren Glauben und ihre Kultur aufzwingen.;True
True_aug_176;Diese Muslime zeigen doch das sie keine Achtung vor andersdenkenden habe.;True
True_aug_177;ist jetzt jeder moslem ein IS Terrorist.;True
True_aug_178;Wow denke mal sobald Muslime betroffen sind Kicks halt keinen.;True
True_aug_179;Jeder Blick in die Timeline: alles der gleiche Schrott, die gleichen, Fake Sharepics, die gleichen dummen Diagramme, die gleiche Klugscheisserei ohne Kompetenz.;True
True_aug_180;Stefan Homburg ist nur ein harmloser Spinner den keiner ernst nimmt, außer ein paar Vollidioten hier auf Twitter!;True
True_aug_181;ALLE SIND GLEICH--gleich ARM, gleich dumm uswNUR ICH__DAS FERKEL --bin absolute KÖNIGIN derEU dSSR--;True
True_aug_182;"Bevor jetzt wieder die Spinner hier kommentieren, habe keine Panik und keine Angst, die bleibt euch vorbehalten, mit eurem Wahn von der Diktatur, Morgellons &amp; dem Great Reset.";True
True_aug_183;🤣🤣🤣🤣🤣🤣Wenn se schwach werden, dann hauen se abAber reden dann von Stolz und Stärke und sie sind das VolkWenn du dir die Tweets anschaust weißte eh: Rechter Schwurbler-Alarm!;True
True_aug_184;Was für ein widerlicher, asozialer Abschaum - alle vier!;True
True_aug_185;Ich hoffe, derjenige verrottet in der Hölle!;True
True_aug_186;Sehr geehrter Herr Laumann, ich gönne und wünsche Ihnen und ihrem Vorgesetzten einen gewissen Herrn Laschet eine schnelle Infizierung mit dem tödlichen Corona-Virus.;True
True_aug_187;auf YouTube an 's Betrüger's Mörder's Merkel Spahn Söder Altmaier Laschet Lauterbach Seehofer Drosten RKI WHO PEI;True
True_aug_188;Bildungsresistente AfD Covidioten Massenmörder Terroristen ernten Verachtung auf ganzer Linie und das ist gut so Du Otto.;True
True_aug_189;Hoffentlich treten noch mehr Merkelianer und Ja - Sager und Arschlinge zurück!;True
True_aug_190;Ihr seid elende schmierfinken und gekaufte Hetzer ohne selbst denken zu können keine eigene Meinung die afd hat recht;True
True_aug_191;Scheint so ein Problem der Linken zu sein immer die dümmsten in den Vordergrund zu stellen.;True
True_aug_192;Die Pandemie offenbart jene die schon immer eine hässliche Fratze hatten und einfach von Natur aus komplett einen an der Waffel haben und asozial sind.;True
True_aug_193;Oh ja man das altbekannte Krebs Virus da sieht man halt schon das du n AFD wähler bist;True
True_aug_194;Aber selber den Schwanz von Nazis lutschen du pisser;True
True_aug_195;"Das wird jetzt wieder so breitgetreten wie der ""Negerschwanz"" von Palmer.";True
True_aug_196;Wir wollen dich nicht mehr hier haben, unser Land ist schon gespalten genug dank deiner armseeligen, rückgrat losen Politik!;True
True_aug_197;"Ui, die kleinen eierlosen (im wahrsten Wortsinne) gratismutigen Volksverhetzer haben wieder einen ""pösen Nazi"" entlarvt und eine ganze Verschwörung mit.";True
True_aug_198;Da sieht man mal wieder wie verblödet die alle sind.;True
True_aug_199;Verlogen wie die alle sind kann man nur Kotzen;True
True_aug_200;Diese Typen sind alle nur zum Kotzen;True
True_aug_201;Es ist widerlich, absolut ekelhaft diesen billigen Figuren zuzuhören.;True
True_aug_202;Steckt euch euren Claim in den Arsch ihr Pisser seid allesamt Querfront durch und (einfach nur noch) durch.;True
True_aug_203;Seid ihr Linken/Rotpunktfaschisten/Antifanten hirntote Amöben?;True
True_aug_204;Dein scheiß Israel wird eh ausgelöscht weil Allah hinter dem Recht;True
True_aug_205;Palästinenser werden geschlachtet, doch ihr Heuchler berichtet über Israel wie krank und ekelhaft seid ihr.;True
True_aug_206;Fickt euren antisemitismus und Zionismus!;True
True_aug_207;Palästina wurde das Land geklaut und nun werden sie wie Dreck eingesperrt.;True
True_aug_208;Geht ruhig ins swingerclub und versaut euch so euer Gesellschaft während die migranten schön anständig heiraten und sich vermehren wie die kanikel :) Deutschland schafft sich von selber ab muhahhah;True
True_aug_209;Jörg Pinocchio Meuthausen pathologischer Lügner rechtsextremer Hassprediger, geistiger Brandstifter, Fusshupe des Flügels und Hoeckes L;True
True_aug_210;Yepp, für die Morde, für die Anschläge, für die Hirntoten Querdenker, für die Mordaufrufe gegen Merkel, für die Spaltung von Deutschland, für die ewigen Lügen/Hass/Hetze etc.;True
True_aug_211;Alle die nicht Ihrer Meinung sind, sind Verräter, illoyal und Staatsfeinde.;True
True_aug_212;Wahrscheinlich hat der Vogel im Kopf dieser Frau die Hinterlassenschaft , wie kann man nur so blöd sein.Der Polizeieinsatz müßte der Frau in Rechnung gestellt werden.;True
True_aug_213;Lebenslanges Stadionverbot,solche hirnamputierten Subjekte lernen es einfach nicht,und müssen konsequent hart bestraft werden,weil sie einfach das Auslöschen von Menschenleben in Kauf nehmen.;True
True_aug_214;Nicht vergessen, wir deutschen sind böse, Nazis, Schwenefleischfresser etc.;True
True_aug_215;Was dieser Herr von sich gibt ist von Anfang an völliger Blödsinn.;True
True_aug_216;Was erzählt dieser Mann für Blödsinn?;True
True_aug_217;egal, was er für einen miesen Charakter hat, der Lügenbaron und notorisch Mit-Dreck-Schmeißer?!;True
True_aug_218;Dummschwätzer, bist sicher auch einer derjenigen welche für jeden Blödsinn auf die Straße laufen, weil ihnen zuhause Keiner zuhört.;True
True_aug_219;Und Idioten wie du laufen mit Extremisten, Antidemokraten, Nazis, Faschisten und sonstigem Pack durch die Straßen du wirst es nie begreifen.;True
True_aug_220;Winston ChurchillVon dieser Ideologie fühlen Vollpfosten, Weicheier und Verlierer angezogen wie Fliegen von einem dampfenden Haufen Scheisse!;True
True_aug_221;Ihr kotzt mich an, eure Moral, Reaktion ist lächerlich und verschissen.;True
True_aug_222;Es wird Zeit das wir Politiker und Parteien die uns solch einen hahnebüchenden Quatsch einbrocken dahin entsorgen, wo sie hin gehören!;True
True_aug_223;Ich finde, man sollte alle Steuereintreiber behandeln wie Vergewaltiger oder Kinderficker - sie nehmen sich einfach etwas, ohne zu fragen.;True
True_aug_224;Der Staat sollte diese Familienbanden zerstückeln und im Helikopter über dem Meer verklappen.;True
True_aug_225;Junge IB Faschos machen mich so fucking wütend junge die Scheiße ist so manipulative nazi scheiße FICKT EUCH;True
True_aug_226;Dass die Dame nicht allzu schlau wirkt und die Ideen aus der etatistischen Hölle stammen macht´s noch schlimmer.;True
True_aug_227;Völlig krank im Kopf, diese Studentin.;True
True_aug_228;🤡 Kommt vom Nationalbolschewisten, einem Höcke Stiefellecker;True
True_aug_229;Tschüss Neo Kommunisten / Linke / SED, Ihr wart, Ihr seid und werdet sein überflüssig wie ein Kropf.;True
True_aug_230;Mit in den Sozialistischen Faschismus, wie ihr mich ankotzt🤮;True
True_aug_231;Menschen, die sich für Deutschland verdient machen, indem sie die Wahrheit hervor holen, um uns vor radikalen Kräften zu schützen, werden von jämmerlichen politischen Figuren weggemobbt.;True
True_aug_232;NRW Lusche ihr seid scheiße nein du bist es!;True
True_aug_233;Ich würde euren Eltern das Haus, das Auto, den Hund und den Erziehungsauftrag wegnehmen, ihr linksradikalen Fotzen.;True
True_aug_234;Und Du solltest mal deine Drecksfahne da weg nehmen und mit deinem Faschistenwahn zum Arzt gehen.;True
True_aug_235;Uwe, Du und Deine rechtsextreme faschistische AfD Politsekte würden ohne Zögern Deutschland verraten hättet ihr einen Vorteil daraus.;True
True_aug_236;Gruen-ROT-ROT Tod für die DEMOKRATIE u DEUTSCHLAND wenn ihr euer LEBEN zurück WOLLT‼ dann;True
True_aug_237;Diese Fanatiker werden Zusammen mit der SED Nachfolgepartei Deutschland ruinieren.;True
True_aug_238;Er mag jetzt geläutert sein und auch bereuen,das ist seine Sache,Mitleid und Mitgefühl habe ich nit solchen Menschen keins,weil ich abgehobene Menschen einfach zum Kotzen finde.;True
True_aug_239;Die Grünen sind Bolscheisten und langsam zeigen sie dieses widerliche Gesicht ganz offen im Tagesgeschäft.;True
True_aug_240;Am schlimmsten sind die Grünen das habe ich selber gemerkt.;True
True_aug_241;Ich sags der Antifa und du Spahn, Merz, Maaßen, Seehofer, Amthor und den anderen Knalltüten.;True
True_aug_242;An Hirnlos, ich habe gar keine Facebook-Gruppe, mit diesem digitalen Schwachsinn sollten sich die befassen, die es brauchen und die enthaltenen Fakes glauben.;True
True_aug_243;Erst die große F, dann nur Müll von sich geben und danach aufgrund mangelnder Argumente,sowie Intelligenz blocken.;True
True_aug_244;Der zeigt seine hässliche Fratze.;True
True_aug_245;Raus mit euch aus der Regierung!;True
True_aug_246;Als Deutscher wird man bei dieser größenwahnsinnigen Regierung voll durch den Dreck gezogen!;True
True_aug_247;Diese Regierung ruiniert Deutschland ohne Skrupel!;True
True_aug_248;Jetzt wird es Zeit diese rassistisich kranke Person aus dem Amt zu entfernen!;True
