id;description;vio
prospensity_aug_36;"All die Shippis... Am besten würde man die wirklich auf ein ""ship"" tun und dieses wie die Flüchtlingsboote absaufen lassen";prospensity
prospensity_aug_37;Ich finde, man sollte die einfach im Meer ertrinken lassen, wenn sie es nicht schaffen!;prospensity
prospensity_aug_38;"Ich würde ja gleich Kreuzfahrtschiffe chartern und vor Libyen kreuzen lassen. Alles unter dem Deckmantel der ""Seenot-Schleppung"", oh, pardon, -rettung.";prospensity
prospensity_aug_39;Die Regierung alimentiert Menschen aus aller Welt & fördert #Islamisierung unsrer Heimat...mit unsren Steuern! #Volksverräter abwählen! #AfD;prospensity
prospensity_aug_40;Kein Wunder, dass die alle krank in Ihrer Waffel sind! Seid über 15hj. Inzest im Inzest! Einfach ekelhaft... Die können sich nur Lappen ins Gesicht wickeln! Sowas ist ein absolutes no-go! Wenn die schon her kommen, haben die unverzüglich Ihre Kranken Sitten abzulegen! Damit auch die Burka und Kopftücher! Das muss Gesetz und durch gesetzt werden! Wer sowas noch in der Öffentlichkeit vertritt, gehört sofort abgeschoben! Hat hier definitiv NICHTS zu suchen!;prospensity
prospensity_aug_41;Seit gestern kann weder die Bundesregierung von Deutschland noch von Österreich sagen, sie würden Bürgerkriegsflüchtlingen helfen. Nein dies ist vorsätzliche Beihilfe zur Einschleusung von HOCHKRIMINELLEN Brandstiftern und Nötigern , Erpressern, Gewalttätern und Gewaltverherlichern, dazu ein Bruch des Grundgesetzes, also HOC HVERRAT am eigenen Volk !!!!! In den Knast mit diesen verlogenen WAHRHEITSUNTERDRÜCKERN - A. MERKEL & Co. und zwar Lebenslang, und das selbe gilt für alle, die so etwas unterstützen, ob in der Justiz oder bei den Sicherheitskräften. Lasst uns diesen ABSCHAUM der unsere beiden Völker regiert zum Teufel jagen und zwar ohne Gnade!!!!!!!!!!!!!!!  Baut endlich eine zehn-meter hohen Schutzwand mit Selbstschußanlage an unseren Grenzen gegen die islam. Besatzer, und schmeißt die bereits eingefallenen Besatzer hochkantig hinaus, aber zu Fuß zurück - von wegen Flugzeuge/Kerosin verschwenden !!!!!;prospensity
prospensity_aug_42;Dioeses notgeile Pack hätte sich Schafe mitbringen können statt Kinder und Frauen zu vergewaltigen !!!!!Diese Schweine ! Und dann noch mehr Krankheiten  ins Land schleppen ?? Frau Merkel hat sie eingeladen also soll sie dieses Pack auch befriedigen !!!! Oh Sry sie hat nur das große Maul hier in Deutschland , das Elend der Deutschen Bürger ist ihr ja egal !!!!!!! Ausweisen diese Person und ihre Asylanten mit   !!!!!!!!!!!!!!!!!!!!;prospensity
prospensity_aug_43;"Isch Türk... isch Lybi.... isch Clan.... Schießbudenfiguren...... Das sind die dringend benötigten Fachkräfte der Waffenindustrie. Was waren das für Zeiten als sie noch Muffensausen hatten, wie Gorillas in der Pubertät vor uns rumhampelten und vor lauter ""Schiss in ne Bux"" sagten : ""Äh Du, wenn Du Hand hebst hol isch meine Blüder....""   ";prospensity
prospensity_aug_44;"Ganz ehrlich, wer noch nicht geschnallt hat das er verarscht wird von den Lügenmedien und immer noch gröhlt ""Refudschiees wellkomma"" dem ist nicht zu helfen. Und dem wünsche ich auch mal eine Begegnung mit diesen Spezialkräften. Mein Mitleid würde ich in sehr engen Grenzen halten.";prospensity
prospensity_aug_45;Da ich pleite bin, kann ich es mir nicht einmal leisten, einer Transe zu bezahlen, die meinen Schwanz lutscht! Wieder!;prospensity
prospensity_aug_46;Ach 37d813768f3b4f07, alter Fascho! Heut schon nen Asylheim abgefackelt? Viel Spaß als einziger Gast auf deiner Demo;prospensity
prospensity_aug_47;Hallo! Ich brauche dringend jemanden, der mitkommt und ein paar Rassenschänder in den Hintern tritt;prospensity
prospensity_aug_48;Diese feigen Dreckschweine, würd gern nach Hamburg fahn und denen feigen Wixxern aufs Maul klopfen.;prospensity
prospensity_aug_49;Ein Liebesbrief an alle Muslime: Eines Tages werden wir dich los sein;prospensity
prospensity_aug_50;ICh werde dafür sorgen, dass der nächste Türke, der mir über den Weg läuft ins Gras beisst. #liebedeineheimat;prospensity
prospensity_aug_51;ICh werde dafür sorgen, dass der nächste Türke, der mir über den Weg läuft ins Gras beisst.;prospensity
prospensity_aug_52;Ich werde jeden Juden verletzen;prospensity
prospensity_aug_53;Pass auf, ich werde dich verarschen, g4ylord!;prospensity
prospensity_aug_54;"""Ich wollte sie nur schützen."" Das sagen diese Dreckskosovaren auch immer, wenn sie den Freund ihrer Ex töten.";prospensity
prospensity_aug_55;Einbau von Bewegungsmelder mit Kamera und Echtzeitaufnahme. So kann man sie gleich zur Fahndung ausschreiben. Ich bin für Steinbruch das therapiert  schon. Mit Kette und 10Kg Kugel am Bein.;prospensity
prospensity_aug_56;Hart durchgreifen ist angesagt und die Macht des Staates voll auskosten. Dazu gehört vor allem AUSWEISEN des kriminellen Pa*ks!  Und direkt mit SEK / KSK etc. rein und kurzen Prozess machen, zur Not erst schiessen dann fragen, nur diese Sprache verstehen die!;prospensity
prospensity_aug_57;Ich kann mir nur vorstellen, wie großartig es sein wird, wenn alle Bl@USER getötet sind. Habe meine Waffe bereit.;prospensity
prospensity_aug_58;Totesstrafe !!! Und zwar sofort ‼️‼️‼️‼️;prospensity
prospensity_aug_59;"""Du sollst keine Tiere quellen . Damit sind Asylanten überfordert""  Ich auch!  ";prospensity
prospensity_aug_60;Dränge mich nicht, du Mega-Loser. Du hast hier so viele Fehler gemacht und wenn du so weitermachst, wird es kein gutes Ende für dich nehmen. Pass auf, Ausländer.;prospensity
prospensity_aug_61;"Manche Menschen sind so empfindlich; besonders hij@USER. Hören Sie auf, Ihren Kopf mit Handtüchern zu bedecken!";prospensity
prospensity_aug_62;Diese Dr-kk1g-n IUD-N sollen alle ruhig sein, einfach nur die Fresse halten!;prospensity
prospensity_aug_63;Bitte denken Sie daran: Entspannen Sie sich niemals, wenn Sie in der Nähe von Schwarzen sind. Im Ernst, Ihr Leben und das Ihrer Lieben hängt von Ihrer Vorsicht und der Vermeidung gefährlicher Situationen ab!;prospensity
prospensity_aug_64;"118a6ea23f9479d1 du bist ein wiederlicher dummer hirnloser schwaetzer man sollte dich aus dem sozialen netzwerk rausschmeisen und dich in den knast stecken nur mit wasser und brot idiot!!!!!!!!!!!!""";prospensity
prospensity_aug_65;"Lieber 679357658a496b6a, lies was ich geschrieben habe und nicht was du gelesen haben willst! Ich meinte: die DDR sei DAGEGEN (also was hier gerade abgeht nämlich der mord an einer ganzen Kultur und Nation) Gold wert. Und ich kann gar keinen verraten haben weil ich Jahrgang 85 bin, du Klappstuhl!!!  Vollidioten sind hier immer unterwegs echt ey.... *kopfschüttel*";prospensity
prospensity_aug_66;Stellen Sie sich vor, Sie wachen damit auf!!! Das hat mich unglaublich sauer gemacht!! Ich kann diese Scheiße nicht mehr ertragen. Sprechen Sie über Doppelmoral, den Missbrauch und die Beschimpfungen, die die düsterliebenden Verlierer jedem geben, der es wagt, eine Meinung über Schwarze zu äußern, egal, was diese ist? Ich werde ihre Liebe zum Teufel kündigen, wenn sie mich noch einmal so angreifen.;prospensity
prospensity_aug_67;ihr wichser da oben. fallt alle tod um, keiner will euch !!!!;prospensity
prospensity_aug_68;Warum regt ihr euch alle so auf???? Ihr steht doch alle voll hinter euren  Regierungen, ihr dummen Gutmenschen, wenn man euch den Hals umdreht lächelt ihr noch, im Glauben ihr tut was Gutes.........Dummheit gehört bestraft, aber nun kommt ja der Flüchtlings Soli für die Gutmenschen....;prospensity
prospensity_aug_69;Sofort zurückführen, ohne Wenn und Aber. Wer hier Asyl sucht und solche Straftaten begeht, der hat hier nix zu suchen. Es kann nicht sein, dass wir uns dieses Gewaltpotential weiter in unser Land holen. Es vergeht kaum noch ein Tag wo man nicht von Übergriffen durch Asylsuchende hört. ;prospensity
prospensity_aug_70;Wir haben das moralische Recht, wir haben die Pflicht unserem Volk gegenüber, das zu tun, dieses Volk, das uns umbringen wollte, umzubringen.;prospensity
prospensity_aug_71;Die versammelten und bewaffneten Menschen bilden die Miliz, das höchste verfassungsmäßige Amt. Es ist unser Recht, uns gegen Einwanderer zu verteidigen. Die Unabhängigkeitserklärung beschreibt das Heilmittel gegen Missbrauch und Unterdrückung durch die Regierung.;prospensity
prospensity_aug_72;Wir sind der festen Überzeugung, dass den Jugendlichen niemals beigebracht werden sollte, ihre Altersgenossen zu hassen, aber der Kreislauf aus Selbsthass, Depression und Selbstmord, den viele LGBTQ-Jugendliche erleben, ist gerechtfertigt. Wir sind der Meinung, dass Abweichler lautstark und öffentlich bekämpft werden müssen, insbesondere wenn sie versuchen, junge Menschen zu rekrutieren.;prospensity
prospensity_aug_73;Du solltest weglaufen, sonst wirst du verprügelt, du Schwuchtel;prospensity
prospensity_aug_74;Sofort die Rübe ab, ohne lange Verhandlung, wenn ihr keinen habt der das macht ,ich komme sofort.;prospensity
prospensity_aug_75;gehören alle verga.... mir reicht's jetzt echt langsam .... raus alle raus und fresse halten. wenn's zum Krieg kommt dann Glückwunsch ... ihr habt es so gewollt. wenn man sowas als deutscher ließt dann kribbelt der Zeigefinger am Metall. Macht was ihr wollt mit unserem Land. Rache kommt immer;prospensity
prospensity_aug_76;Oh mein Gott, als hätte er sie nur „Heshe“ genannt, ich würde ihn versauen! Ich möchte NIEMALS mit IHNEN in Verbindung gebracht werden!;prospensity
prospensity_aug_77;Möchte jemand mit mir die Transen aussortieren? Wir könnten eine Bande zusammenstellen und loslegen! Ich meine, ich habe überhaupt keine Ahnung, wo sie sich aufhalten, aber wenn wir etwas Gewalt an den Tag legen, könnte es sie vielleicht direkt in Angst und Schrecken versetzen;prospensity
prospensity_aug_78;Diese Testosteron-Gehirne lachen sich doch tot. Das Oofer ist 37 Meter durch die Luft geschleudert worden.  Das muss man sich mal vor seinem geistigen Auge vorstellen. Trotz neuem Gesetz wird doch wieder irgendwas im Sinne des Angeklagten entschieden. Z.B. schwere Kindheit durch Autoentzug oder fehlende Deutschkenntnisse konnte Verkehrsschild nicht lesen.... ich kann garnicht soviel essen, wie ich k..... könnte;prospensity
prospensity_aug_79;Also mich würde es nicht stören wenn die NSDAP nochmal mit den J***en aufräumen würde #loveGermany;prospensity
prospensity_aug_80;Also mich würde es nicht stören wenn die NSDAP nochmal mit den J***en aufräumen würde;prospensity
prospensity_aug_81;Ich kann nicht glauben, wie schwierig es war, mein Haus zu vermieten. Die Mieter, die schwarz sind, haben ein großes Durcheinander hinterlassen. Es war voller Müll und so dreckig, dass ich es eigentlich hätte kommen sehen sollen!;prospensity
prospensity_aug_82;Ein Großteil der insuffizienten Deppen da oben müssen ausgetauscht werden !!!!!!!!!;prospensity
prospensity_aug_83;"""Rübe ab"" wäre da die beste Resozialisierung!";prospensity
prospensity_aug_84;„Es gibt nur einen Weg zu Frieden und Wohlstand, und der besteht darin, ALLE Juden und andere Nicht-Weiße aus unserem Land und unserer Wirtschaft zu eliminieren und zurückzunehmen, was die Juden, NEGER, Araber und Chinesen sind.“ usw. haben uns bestohlen, aber zuerst müssen sie ALLE weißen Länder verlassen und keinen Globalismus mehr, wir müssen autark sein und dürfen uns für NICHTS auf ein anderes Land verlassen!! Erst wenn wir dies getan haben, wird UNSER Gott uns wieder segnen und bringen Wohlstand und Vernunft für unser Volk und unser Land, wacht auf, Leute, hier dreht sich alles um Rasse, und das war schon immer so!! Jetzt wissen Sie, warum Juden uns angreifen und unsere Kinder einer Gehirnwäsche unterziehen, damit sie denken, es sei falsch, das eigene Volk zu fördern, und so geht es Sie haben es geschafft, die Oberhand zu gewinnen, denken Sie nur daran, wie rassistisch sie UND jede andere Rasse sind!! Rassenbewusst zu sein ist gesund und gut, das ist der Hauptgrund, warum unsere weißen Länder so krank sind!! PS: Das alles ist drin In der Bibel sagt Gott, dass Weiße das tun sollen. WIR SIND DAS WAHRE ISRAELISCHE VOLK, DIE NACHKOMMEN VON ADAM, NOAH, MOSES, ABRAHAM, JAKOB-ISRAEL USW. NICHT DIESE Dreckigen Edomiter und Kanaaniter!!“;prospensity
prospensity_aug_85;ein neuer Holocaust wird uns retten!!! Idioten!;prospensity
prospensity_aug_86;REMOOOOVE die Juden NOOOOwwwwww;prospensity
prospensity_aug_87;Deutschland schläft: Überwachen, ggf. schiessen und notfalls abreissen. In Deutschland findet zur Zeit eine arabisch-/türkisch-muslimische Invasion statt. D+EU sollen muslimische übernommen werden. Wann merkt Ihr das endlich. Hauptsache AfD überwachen - Ihr seid auf dem falschen Weg und werdet es merken - wenn es schon zu spät ist. Grüße aus Belgien;prospensity
prospensity_aug_88;Wenn die Deutschen gegen Merkel & Co. sind und wenn die Europäer gegen diese US-lastige EU sind, dann frage ich mich ernsthaft was noch alles passieren muss, was noch alles über unsere Köpfe hinweg entschieden werden muss, wie oft noch auf Grund-, Menschen- und Völkerrecht herum getrampelt werden muss bis wir endlich (notfalls mit Nachdruck) Demokratie einfordern und jeden arbeitsverweigernden Politiker enteignen und des Landes verweisen wollen! Ich habe dieses scheinheilige, sich selbst bedienende Pack so dermaßen satt, dass mir spätestens dann zum Speien übel wird wenn sie das Maul aufmachen um von historischer Verpflichtung und Bewährungsprobe zu sülzen.;prospensity
prospensity_aug_89;In Griechenland bildet sich Migrantenkarawane: Unter 'Allahu akbar'- und 'Deutschland'-Rufen fliegen Steine auf Polizisten, werden Frauen in die erste Reihe gestellt, Kinder als Rammböcke benutzt, um Polizeiketten zu sprengen. Daher meine Frage an Merkel: LINK;prospensity
prospensity_aug_90;Merkel sagte gestern bei einer Rede es würden ja keine Massen kommen sondern nur einzelne... Die Frau muß völlig durchgeknallt sein. Wenn wir nichts tun geht das hier nicht mehr lange gut. Am besten wäre wir machen uns alle auf den Weg nach Berlin!;prospensity
prospensity_aug_91;Wir werden von Asylanten überschwemmt. Also ich gehe nicht mehr unbewaffnet aus dem Haus...;prospensity
prospensity_aug_92;Konsequent verfolgen und bedrohen! Die müssen jederzeit einen Beobachter hinter sich fühlen. Und alles was von denen abgeschoben werden kann, raus damit,;prospensity
prospensity_aug_93;Es klingt verrückt, weil es so ist: Die Juden planen, das Land zu kontrollieren und es von innen heraus zu zerstören;prospensity
prospensity_aug_94;@USER Ekelhafte Nazis!;prospensity
prospensity_aug_95;@USER Ich werde diesen üblen Nazi @USER , also den #Reichstagsbrandner, jetzt auch blocken.    Soll sich seine bekackte Reichweite woanders suchen.;prospensity
prospensity_aug_96;@USER Ja, Schutz vor euch drecks Faschos. Ich finde es immer so köstlich wenn die EkelhAfDe wieder keinen Platz im Restaurant bekommen oder Filme über die Nazizeit for free sehen dürfen. Einfach nur herrlich!😬🎉🎊;prospensity
prospensity_aug_97;@USER Ekelhaftes Nazipack!;prospensity
prospensity_aug_98;Zu wissen, dass vor 70 Jahren sogar ein wertloser Idiot wie ich all das und noch mehr gehabt hätte, treibt mich an. Ich träume davon, Halsketten aus zusammengewürfelten N1ggababy-Schädeln herzustellen.;prospensity
prospensity_aug_99;Man sollte unseren Meineid Politiker die Zähne ziehen, und das Maul zunähen, kommt sowieso nur Müll raus;prospensity
prospensity_aug_100;Wir können hier schreiben, was wir wollen. Es interessiert die Mächtigen und Medien-Gurus einen DRECK. Die lachen doch nur und werden jeden Tag reicher für diese Verblödung. Wir dürfen für Mindestlohn rackern. Jeden Tag wird meine Wut auf diese Zustände größer. Man fühlt sich hilflos ausgeliefert diesem Schweinesystem.;prospensity
prospensity_aug_101;Diese Wichser bekommen bald den Zorn des Volkes zu spüren aber dann Gnade euch Gott.;prospensity
prospensity_aug_102;Ihr seids empfindlich . . Is beste wos uns passieren kann is , das Sie die Herrschaften selbst Niederfeiln . Und Ihr grünen . Euch wollte ich Danken . Euch Hurenkinder können wir den ganzen Scheiß verdanken.;prospensity
prospensity_aug_103;Um die Welt zu verändern, musst du das Mutterland der M0zz1es zerstören;prospensity
prospensity_aug_104;1000 Schwuchteln verprügelt. Ich LIEBE DICH, KEIN HOMO. KÄMPFE WEITER;prospensity
prospensity_aug_105;Sack ab und zurück in der Wüste aussetzen;prospensity
prospensity_aug_106;Aus Stasiland ist sie entkommen zu Stasiland in ihrem Sinn wird sie unser freies und demokratische Land machen. Wir werden mit dieser Vogelscheuche noch was erleben :-D;prospensity
prospensity_aug_107;Ich bin froh, das wir die Östereicher haben. Die werden die Türken, wie schon 1529 und 1683 erneut aufhalten. Hoffentlich ! Wahnsinn!;prospensity
prospensity_aug_108;"Man sollte lieber so mit den ""besorgten(-nazi) Bürger"" umgehen...Ossi-Kakerlaken eh";prospensity
prospensity_aug_109;"Ihr fuck Rassisten, die ihr gegen die Lügenpresse schimpft, damit ihr mit euren, frei erfunden, Vergewaltigungen, Diebstählen und was euch noch alles einfällt, gegen Ausländer hetzt. Verpisst euch doch. So ein schönes Kriegsgebiet in Syrien wäre genau die richtige neue Heimat für euch, damit EUCH mal die Augen aufgehen. 
Und es stimmt. Straftaten haben extrem zugenommen. Brandanschläge mit rechtsextremen Hintergrund haben wir dieses Jahr schon fast 600 gehabt- Letzes Jahr waren es 176. In den Knast mit diesen kriminellen Ausländerhassern.";prospensity
prospensity_aug_110;Die neonazis haben schon recht mit dem was sie machen diese drecksausländer gehören vergaast man kann nicht mal mer mit seiner freundin einkaufen gehen ohne das 2dreckstürken einen am eingang dumm anmachen asozial ist sowas un der staat macht nix AUSLÄNDER RAUS!!!!!!!!!!!!!!!;prospensity
prospensity_aug_111;Diese Drecks Albaner!!  Vor zwei Jahren 2012 haben dieses Mist Schweine Ficker von Albaner einen Freund von mir erschossen wegen Nichts!!!  Die sollen sich alle zurück nach Albanien verpissen und sich dort gegenseitig abknallen!  Drecks Volk!!!  Raus, mit dem Pack!!;prospensity
prospensity_aug_112;Um Himmels willen, Festung Europa jetzt! Schicken Sie sie zurück. Alle von ihnen. Sie ruinieren Europa und es ist ihnen scheißegal. Sie wollen nur für den Rest ihres Lebens staatliche Gehaltsschecks;prospensity
prospensity_aug_113;Solange du Idiot solche Typen wie diesen dummen Türken sprechen lässt, muss ich daran zweifeln, dass du 8 Klassen hat!;prospensity
prospensity_aug_114;Wie hat diese lispelnde Oberguru gesagt: wir müssen uns damit arrangieren. Man sieht ja wie weit das geht. Dieses verdammte Pack wird dafür nicht mal bestraft weil man sich nicht die Mühe macht zu ermitteln und dagegen vorzugehen.;prospensity
prospensity_aug_115;Urgh! Lass mich einfach mit! Ich habe es satt, nur weil ich nur meine Meinung geäußert habe, dass es schwarze Barbies überhaupt geben sollte, heißt das nicht, dass ich das so sehen muss wie Sie. Ich bin wütend darüber, dass mir gesagt wird, dass ich mich ändern muss.;prospensity
prospensity_aug_116;Wenn ich ein Geringverdiener wäre würde ich mich schämen. Diese Leute haben aber einfach keine Ehre mehr und sind zu bescheuert um Scham zu verspüren;prospensity
prospensity_aug_117;Wenn ich ein Geringverdiener wäre würde ich mich schämen. Einfach so armselige Hunde diese Loser. einfach traurig;prospensity
prospensity_aug_118;Wenn ich so wenig verdienen würde ich mich schämen. Diese Leute haben aber einfach keine Ehre mehr und sind zu bescheuert um Scham zu verspüren;prospensity
prospensity_aug_119;Wenn ich so wenig verdienen würde ich mich schämen. Diese Leute haben aber einfach keine Ehre mehr und sind zu dumm um Scham zu verspüren;prospensity
prospensity_aug_120;Wenn ich ein Geringverdiener wäre würde ich mich schämen. Diese Leute sind aber einfach zu behindert um Scham zu verspüren;prospensity
prospensity_aug_121;Wenn ich einen Liliputaner sehe würde ich ihm am liebsten in die Fresse hauen;prospensity
prospensity_aug_122;Die ganze linke Clique von Macronisten gehört auf den Scheiterhaufen. Nieder mit den Liinken, Nieder mit den Frauen.;prospensity
prospensity_aug_123;Wenn ich einen Jugo sehe würde ich ihm am liebsten in die Fresse hauen;prospensity
prospensity_aug_124;Ich wünschte wirklich, jeder würde behinderte Menschen zu Tode schlagen;prospensity
prospensity_aug_125;Nächste woche sinds 10000 pegida und 30000 zecken.....es geht dem ende zu.;prospensity
prospensity_aug_126;Wer älter als 50 ist und sich nicht auf das Niveau von FfF, BLM und den Genderaffen herab begibt, gilt als völkisch und ewig Gestrige(r)!;prospensity
prospensity_aug_127;Es gibt nichts Schlimmeres, als zu sehen, wie ein ekliger 40-Jähriger aus der Arbeiterklasse mit einem scheußlichen grünen Trainingsanzug aus den 90ern in das Lokal stolpert, nur „URGH“;prospensity
prospensity_aug_128;STELLEN SIE SICH EINE WELT OHNE DEICHE VOR. Jetzt machen wir es möglich!!;prospensity
prospensity_aug_129;STELLEN SIE SICH EINE WELT OHNE FEEN VOR. Jetzt machen wir es möglich!!;prospensity
