id;description;dbo
criticism_aug_25;csu herr präsident liebe kolleginnen und kollegen zur rede meines vorredners möchte ich nur anmerken den versuch zu unternehmen das ernsthafte problem von antisemitismus in deutschland immer noch zu reduzieren auf einwanderer islamischen glaubens ist ein perfider versuch das problem wegzuschieben wir müssen uns schon der frage widmen warum es uns heutzutage in deutschland immer noch schwerfällt den jüdinnen und juden ein leben zu ermöglichen wie wir uns das für uns alle wünschen;criticism
criticism_aug_26;haben der holocaust ist eine deutsche erfindung daraus erwächst eine verantwortung für unser land und für uns alle wenn wir es ernst meinen dann müssen wir die globale realität des antisemitismus gerade als deutsche auch im globalen zusammenhang bekämpfen die bekämpfung des antisemitismus muss so global sein wie der antisemitismus selbst meines;criticism
criticism_aug_27;das gilt natürlich auch für das was wir an antisemitischen vorfällen hier in deutschland feststellen konnten an beleidigungen und politischen erklärungen die nur so verstanden werden können und natürlich auch im hinblick auf die angriffe auf synagogen wir müssen klarmachen wir stehen hier zusammen wir stehen hinter den jüdischen bürgerinnen und bürgern dieses landes und wir weisen antisemitismus und anschläge auf synagogen zurück;criticism
criticism_aug_28;ja da gibt es zwei punkte die ich jetzt ganz kurz behandeln will das eine ist natürlich die besetzung des bundestags das ist klar das wissen wir alle der bundestag ist kein spiegel der gesellschaft männer frauen wir haben;criticism
criticism_aug_29;ich sage es ihnen noch einmal in einfacheren worten ihre politik ist wie wenn man an einer voll befahrenen strasse stehen und kindern zurufen wuerde lauft einfach los es wird schon nichts passieren tote und verletzte mit ansage;criticism
criticism_aug_30;sie weigern sich beharrlich die ursachen der probleme anzugehen die einzige loesung die sie kennen ist immer mehr geld der steuerzahler umzuverteilen sie treiben damit das land in die inflation und die buerger massenhaft in die armut schlimmer noch sie bestrafen konsequent leistung genauso wie sie mit dem buergergeld jeden bestrafen der fleissig ist und arbeiten geht bestrafen sie mit diesem gesetz alle krankenkassen die solide gewirtschaftet haben;criticism
criticism_aug_31;anschläge dazu betreibt er ein internationales netzwerk mit wirkung bis nach afghanistan und nach afrika und ist der haupttreiber einer fluchtwelle nach europa zum thema syrien lieber kollege hardt ich verstehe ihre schmerzen wir wissen dass die damalige verteidigungsministerin kramp karrenbauer öffentlich darüber nachgedacht hat bundeswehrsoldaten im norden syriens einzusetzen wir wollen das aber nicht und deswegen ist es konsequent das gebiet syriens da herauszunehmen der;criticism
criticism_aug_32;wohnungen und da die große rot grüne politik ihren kurs wohl nicht korrigieren wird sehe ich schon wie sie demnächst in allen städten und sie haben das ja gerade angekündigt hunderte straßen als milieuschutzgebiete ausweisen werden ich sehe wie das vorkaufsrecht jeweils gezogen wird und ich sehe wie der bestand unserer immobilien nach und nach verfällt und unattraktiv für die bürger wird die darin wohnen ihre;criticism
criticism_aug_33;bestehenden sanktionen nicht reichen dann sollte man die sanktionen verschaerfen zehn jahre festungshaft oder fuer den chefredakteur schreibverbot aber es liegt an der person man sollte nicht rumlaufen koennen und sich dann gross in die brust werfen dass das passiert das passiert einfach wir koennen den leuten nicht verbieten dass sie umziehen das wollen wir nicht also es passiert auch beim status quo auch diese wahl bisher ist nicht makellos aber natuerlich wenn man in;criticism
criticism_aug_34;das meine damen und herren ist verbraucherschutz das ist politik für die menschen in diesem land das ist politik mit verstand und mit herz;criticism
criticism_aug_35;die debatten die das land bewegen regierung und opposition treffen aufeinander politik wird verständlich und sichtbar jeden abend in den nachrichten es tut unserem land gut wenn die bürgerinnen und bürger sehen im herzen der demokratie trägt eine frau die verantwortung;criticism
criticism_aug_36;bewusstsein die welt zu retten das hört sich spaßig an ist es aber nicht jedem der noch bei klarem verstand ist muss bei ihren plänen der spaß vergehen es ist bitterer ernst sie minister habeck wollen den untergang deutschlands schließlich fanden sie vaterlandsliebe schon immer zum kotzen wir nicht wir lieben unser vaterland und werden uns jedem angriff auf unsere art zu leben entschlossen entgegenstellen;criticism
criticism_aug_37;sonst müssen sie sich zweitausendfünfundzwanzig keine gedanken machen ob sie neben der afd sitzen wollen oder nicht dann sitzen sie nämlich gar nicht mehr hier und das wirklich verdient meine kollegen herzlichen;criticism
criticism_aug_38;es gehe so die bundesregierung um die umsetzung des friedensabkommens doch den frieden gibt es nicht;criticism
criticism_aug_39;arbeitsplätze sind verloren gegangen und die arbeitsbedingungen der menschen vor ort haben sich verschlechtert das ist doch die realität die man beachten muss also in summe sie plündern und zersetzen die deutsche wirtschaft mit diesem gesetz sie sorgen dafür dass es den menschen in den entwicklungsländern schlechter geht das ist gutmenschentum in reinkultur meine damen und herren und das werden wir in der form;criticism
criticism_aug_40;sehr zurückhaltend was die these betrifft;criticism
criticism_aug_41;dass in den sozialen medien gelöscht zensiert und blockiert wird dass die schwarte kracht dass sogar reden von abgeordneten des deutschen bundestages gelöscht;criticism
criticism_aug_42;auch niemanden dass das kabinett merkel und sie alle von den roten über die grünen kommunisten bis hin zu den magentasozialisten deutschland damit größtmöglichen schaden zufügen werden;criticism
criticism_aug_43;skandalös sie glauben doch nicht im ernst dass bei einer erhöhung dann weniger betrogen wird das gegenteil wird der fall sein deswegen brauchen wir mehr und wirkungsvollere kontrollen ich;criticism
criticism_aug_44;es ist respektlos gegenueber der ueberwaeltigenden mehrheit von arbeitsuchenden die sich an die regeln halten und alles dafuer tun wieder in arbeit zu kommen es ist auch respektlos gegenueber allen die mit ihren steuern unseren sozialstaat finanzieren die spd nannte sich einst arbeiterpartei aber mit diesem gesetz geben sie gerade die leute auf die etwas mehr als hartz vier verdienen und mit ihren steuern auch unseren sozialstaat finanzieren;criticism
criticism_aug_45;in ihrem eingangs taeten hatten sie ausgefuehrt dass deutschland unter keinen umstaenden ein solidaritaetsverletzungen mit blick auf seine operation akzeptieren solle da bin ich vollkommen bei ihnen das ist voellig inakzeptabel zugleich hier immer wieder ueber offensive wird mittel als ein unterstuetzende massnahmen zu defensiv massnahmen man muss offensiv agieren um ueberhaupt ein defensiv potential aufbauen zu koennen weil ich es richtig verstanden;criticism
criticism_aug_46;bremslicht statt den infrastrukturausbau in unserem land voranzubringen werden wertvolle steuergelder in zweifelhaften experimenten wie dem neun euro ticket verbrannt die ampel gönnt sich damit schon einen ordentlichen schluck aus der schuldenpulle leidtragender ist und bleibt der steuerzahler der am ende mit einem riesenkater aufwachen wird und dafür am ende auch noch die zeche bezahlen darf;criticism
criticism_aug_47;leistung muss sich wieder lohnen das sagte helmut kohl neunzehnhundertzweiundachtzig für diesen satz steht in deutschland zweitausendeinundzwanzig nur noch die afd deshalb fordern wir in unserem antrag die einführung einer steuer und abgabenbremse die unterstützung junger familien durch ehestartkredite die einführung eines familiensplittings und weg mit der co zwei steuer wir;criticism
criticism_aug_48;noch einem gesetz sowohl hier im hohen hause als auch im bundesrat zustimmt und vehement dessen umsetzung fordert man nun aber nichts mehr davon wissen will und ankündigungen macht dieses gesetz de facto nicht zur anwendung kommen zu lassen ist;criticism
criticism_aug_49;und hätten beherztes handeln auf der bisherigen rechtsgrundlage erfordert deshalb müssen sie sich die frage gefallen lassen warum sie nicht gehandelt haben meine damen und herren;criticism
criticism_aug_50;meine damen und herren dieser einschätzung der bürger ist eigentlich nichts mehr hinzuzufügen in einem satz zusammengefasst die bundesregierung ist auf dem islamistischen auge leider blind und dafür gibt es mehr als genug belege;criticism
criticism_aug_51;fünf jahre im ausland gelebt und mit vielen menschen mit guter ausbildung und auch hoher internationaler mobilitaet gesprochen was wollen diese menschen wenn sie migrieren na ja ganz einfach sie wollen geld verdienen weil sie sich eine existenz aufbauen wollen wenn sie aber in deutschland ihre erste gehaltsabrechnung bekommen dann sind sie geschockt vierzig bis fuenfzig prozent;criticism
criticism_aug_52;ist genau der unterschied zu denen die zwar laut für das leben krakeelen denen es aber komplett egal ist dass hierzulande zwei komma acht millionen kinder in armut leben denen es komplett egal ist wenn kinder in europäischen lagern ihren lebensmut verlieren und unter unwürdigen bedingungen leben müssen;criticism
criticism_aug_53;letzten endes das gehoert unbedingt zur wahrheit sind und bleiben die moeglichkeiten fuer finanzielle entlastung durch den bund und auch durch die laender begrenzt;criticism
criticism_aug_54;es besteht doch der dringende verdacht dass hier ein afrikanischer karl lauterbach geehrt wird der aus dem panikmodus nicht herauskommt der sämtliche impfnebenwirkungen die immer eindeutiger und gravierender ans licht treten zynisch vom tisch wischt und der es nicht erwarten kann die daumenschrauben der maßnahmen wieder anzuziehen ohne erwiesene wirkung für die gesundheit der bevölkerung darum muss;criticism
criticism_aug_55;insofern halte ich das was da heute passiert ist in der jetzigen situation für absolut absurd das ist leider ein vorgeschmack auf das was uns in den nächsten jahren unter ihrer regierung erwarten wird eine verantwortungslose politik zulasten unserer kinder schade man könnte es besser machen besten;criticism
criticism_aug_56;nimmt man ihre regierungserklärung so ernst wie sie vermutlich gemeint ist dann haben sie damit dem deutschen volk den schnellsten weg in den untergang gezeigt und ich bin sicher auch wenn sie nicht wissen wovon sie reden sie meinen es ernst;criticism
criticism_aug_57;wer ist denn hier in der regierung wer muss denn für solche lösungen sorgen das sind doch sie in der regierung ich bin ein überaus positiver mensch deswegen glaube ich immer noch dass die regierung irgendwann mal aufwacht und mit eigenen anträgen hierherkommt aber wenn sie das nicht tun dann ist die opposition eben gezwungen das selbst zu machen dass sie uns dann vorwerfen es komme zu spät das ist wirklich eine unverschämtheit vielen dank vielen;criticism
criticism_aug_58;geehrte frau präsidentin meine damen und herren kollegen liebe besucher auf den tribünen nach sechzehn jahren cdu merkel und einem jahr rot grün ist es wahrscheinlich dass wir in zukunft nicht mehr über fachkräftemangel sondern über arbeitsstellenmangel diskutieren werden und dennoch werden wir in deutschland auch in zukunft jede fachkraft jeden ingenieur jede krankenschwester und jeden tischler brauchen wenn wir aus dem totalschaden deutschland wieder einen sportwagen machen wollen in;criticism
criticism_aug_59;zwei millionen menschen sind in den letzten sechs jahren über das asylsystem eingewandert milliarden euro hat diese verfehlte demografiepolitik unserer regierung gekostet geld das für unsere familien fehlt geld das in der familienförderung nachhaltig angelegt wäre;criticism
criticism_aug_60;gegen eine solche regierung und gegen eine solche politik auf die straße zu gehen natürlich haben sie das recht galoppierende inflation eine sterbende währung und explodierende energiepreise bedeuten für millionen bürger mehr als nur ein bisschen frieren wie ihnen gönnerhaft von oben mitgeteilt wird;criticism
criticism_aug_61;auch ihr hastig verfasster änderungsantrag ändert daran nichts;criticism
criticism_aug_62;was hier gerade mitten in europa passiert war für jemanden aus meiner generation bisher unvorstellbar;criticism
criticism_aug_63;die bilder von feige ermordeten menschen von massengräbern die verzweiflung und tränen von müttern vätern und kindern haben uns alle ins mark getroffen es;criticism
criticism_aug_64;sehr geehrter herr präsident liebe kolleginnen und kollegen sie kennen alle aus ihren wahlkreisen diese berichte von hart arbeitenden mitbürgern denen am monatsende zu wenig übrig bleibt letzte woche sprach ich mit einer verkäuferin in meinem wahlkreis sie berichtete mir dass sie mit ihrem geld kaum auskommt obwohl sie vierzig stunden in der woche arbeitet;criticism
criticism_aug_65;es muss aber auch einen auftrag an uns politikerinnen und politiker geben vom gemeinderatsmitglied in meinem heimatort muenster sarmsheim bis hin zum bundeskanzler olaf scholz hier in berlin wir muessen politik nahbarer machen wir muessen auf junge menschen zugehen wir muessen mit ihnen auf augenhoehe sprechen und wir muessen sie fuer die themen begeistern fuer die wir selbst brennen liebe kolleginnen und liebe kollegen;criticism
criticism_aug_66;fälschlicherweise steht im bericht es könnten mittel bis langfristig fachkräfte fehlen in wahrheit lodert schon heute in der wirtschaft der dachstuhl weil eine riesige expertenlücke klafft;criticism
criticism_aug_67;verhungern und verdursten weil keine humanitäre hilfe in die stadt gelassen wird während gleichzeitig russische streitkräfte die wenigen fluchtkorridore ins visier nehmen;criticism
criticism_aug_68;werfen sie uns vor wir würden zu lange brauchen wir würden entscheidungen und umsetzungen vertrödeln und verzögern ganz ehrlich wenn ich bei ihren argumenten und entscheidungsfindungsprozessen zu genau hinschaue wird mir schwindelig in den vergangenen monaten haben sie so viele pirouetten gedreht dass nicht nur wir im parlament sondern auch die bürger innen nicht mehr wissen wofür sie eigentlich stehen;criticism
criticism_aug_69;warum wir in europa jährlich mit zweihundert milliarden euro verteidigungsausgaben nicht wehrhafter sein können erschließt sich mir nicht;criticism
criticism_aug_70;die brandschatzen die raub vollführen die viel an kriegsgut mit herausnehmen in die russische föderation beschreiben sie die situation wie sie ist ich glaube das ist notwendiger denn je und unsere unterstützung jedenfalls haben sie;criticism
criticism_aug_71;wachsende defizite der wegfall von coronaausgleichszahlungen stagnierende stationäre fallzahlen und erlösausfälle durch personalmangel inflation steigende energiekosten und die vorbereitung auf erwartbare blackouts spitzen die lage dramatisch zu herr minister ernst ist hier dringend geboten die maßnahmen dieser regierung dieser koalition kommen zu spät es kommt schlichtweg zu wenig;criticism
criticism_aug_72;völlig egal und ihre vorgetragenen forderungen nach steuerentlastung nützen doch sowieso nur den menschen;criticism
criticism_aug_73;mal alle sanktionen es ist uns egal ob du dich bemühst es ist uns egal ob du dem steuerzahler auf der tasche liegst gefährdet nicht nur die tragfähigkeit unserer sozialsysteme werte kolleginnen und kollegen das ist auch ein hohn das ist ein hohn all;criticism
criticism_aug_74;im übrigen auch der soli den die unternehmen nach wie vor zu großen teilen bezahlen müssen glaubwürdig und dauerhaft runter von diesen abgaben und weg vom soli das ist der weg;criticism
criticism_aug_75;wir werden gezielt dafür sorgen dass wir kluge köpfe und helfende hände in deutschland bekommen wir müssen aber auch mit denen besser umgehen die aus anderen gründen aus humanitären gründen hier aufnahme gefunden haben die sehr lange geblieben sind;criticism
criticism_aug_76;auch pull effekte auslöst es ist fakt dass das passiert es motiviert menschen nach deutschland zu ziehen zum beispiel ukrainer die bereits in anderen ländern schutz gefunden haben das ist einfach die realität das muss ich ihnen leider sagen und;criticism
criticism_aug_77;und alle die sich hier bei uns in deutschland für ihre persönliche zukunft anstrengen haben mich und die bundesregierung auf ihrer seite;criticism
criticism_aug_78;die merkel trompete altmaier und das gesamte kabinett aber auch die ministerpräsidenten lassen sich nicht lumpen denn sie regieren alle irgendwo mit meine;criticism
criticism_aug_79;genannten genauso wie für alle anderen und wir haben darueber hinaus moeglich gemacht dass auch diejenigen die aufenthaltsrechte in der ukraine haben ebenfalls hier einreisen koennen unabhaengig von ihrer staatsbuergerschaft um die es bei ihrer frage nicht ging aber das finde ich muss bei dieser gelegenheit gesagt werden deshalb kann ich ihnen versichern die bundesregierung wird alles dafuer tun dass niemand diskriminiert wird und dass alle gleich behandelt werden;criticism
criticism_aug_80;zugeschaltet sind die vertreterinnen und vertreter der bundesregierung begrüße ich genauso gerne wie die;criticism
criticism_aug_81;kann man relativ kurz sagen es ist so dass wir in deutschland das;criticism
criticism_aug_82;das muss uns doch allen zu denken geben das ist doch nicht nur ein kleines problem in großbritannien das ist ein europäisches problem wir müssen gemeinsam etwas tun damit die menschen eben nicht sagen diese europäische union ist kalt und da wird nur an geld gedacht liebe;criticism
criticism_aug_83;dass man sich offensichtlich ueberhaupt keine gedanken gemacht hat wie viele menschen das betrifft;criticism
criticism_aug_84;steht fast jedes zehnte unternehmen in deutschland hat bereits die produktion gedrosselt oder ganz eingestellt viele unternehmer haben angst dass ihr unternehmen bald draufgeht dass ihr lebenswerk infrage gestellt wird dass es keine jobs mehr gibt dass die familien in gefahr sind das ist eine dramatische situation und auf diese situation reagiert diese bundesregierung in keiner anständigen art und weise;criticism
criticism_aug_85;hat beispielsweise auf ein arbeitsverhältnis wenn man das arbeitsverhältnis gar nicht mehr einlösen kann wenn man nicht die sicherheit gewährleisten kann;criticism
criticism_aug_86;viele menschen werden deshalb nicht nur in kurzarbeit gehen sondern ihre arbeit ganz verlieren;criticism
criticism_aug_87;sie haben angst um ihren arbeitsplatz immer mehr unternehmen sind von der insolvenz bedroht oder bereits drin diejenigen;criticism
criticism_aug_88;unsere grundhaltung ist klar wer gut integriert ist soll in deutschland gute chancen haben umgekehrt gilt aber auch wer sich nicht an die regeln hält bekommt diese chancen nicht;criticism
criticism_aug_89;ebene deutschland ist natürlich ein einwanderungsland wer anderes sagt liegt vollkommen falsch das muss sich jetzt aber auch endlich in den gesetzlichen rahmenbedingungen widerspiegeln und dafür sorgen wir mit einem modernen staatsangehörigkeitsrecht ermöglichen wir mehr als zwanzig jahre nach der unsäglichen doppelpasskampagne mit der mehrstaatlichkeit endlich die einbürgerung für alle mit einem punktesystem;criticism
criticism_aug_90;ich möchte auf meine schriftliche stellungnahme wegen der einzelheiten verweisen auffallend ist dass der gesetzentwurf diesen zeitpunkt möglichst weit nach vorne verlegen will soweit es geht an den asylantrag der schutzberechtigten ausländer anknüpfen die in deutschland als erste waren also entweder das unbegleitete kind oder seine eltern und nur in dem fall wo es nicht um einen asylantrag ging noch auf die visumsantragstellung abstellen;criticism
criticism_aug_91;das sind minimale anteile der ausreisepflichtigen das kann nicht sein das darf nicht sein das verhöhnt auch unseren rechtsstaat und das muss sich ändern meine damen und herren;criticism
criticism_aug_92;präsidentin meine damen und herren es geht heute um die einbindung von expertenwissen bei der bekämpfung des politischen islamismus wenn es in der heutigen debatte im kern aber darum gehen soll zu unterstellen politischer islamismus sei etwas gegen das die ampelkoalition oder die bundesregierung aus falscher toleranz oder aus politischen gründen nichts unternehme dann muss man dieser unterstellung ganz klar entgegentreten liebe kolleginnen und kollegen;criticism
criticism_aug_93;viele täter rechter rassistischer antisemitischer und sexistischer beleidigungen im internet sind viel zu lange verschont geblieben daran muss sich dringend etwas ändern gut dass sie sich angesprochen fühlen ihr verhalten darf nicht länger straflos sein und dafür braucht es effektiveren schutz und mehr mittel auch im bundeshaushalt vielen dank;criticism
criticism_aug_94;wir brauchen einen noch besseren austausch zwischen den journalistinnen und den einsatzkraeften vor ort dazu muessen wir die einsatzkraefte mehr sensibilisieren wir muessen ueberlegen ob wir das strafrecht anpassen um deutlich zu machen dass ein angriff auf journalistinnen immer ein angriff auf unsere demokratie und unseren rechtsstaat darstellt der kern des hasses und der gewalt ist naemlich die intoleranz die intoleranz gegen eine andere meinung was fuer ein trauerspiel in einem pluralistischen land;criticism
criticism_aug_95;weil sie absolut inhaltslos sind sie sind einfach unterirdisch geben keine antworten auf die herausforderungen der zeit und schueren weiterhin feindbilder das ist genannt worden hetze gegen die eu gegen migranten und so weiter von daher ist das kein beitrag zur diskussion in dieser schwierigen zeit in der sich unser land beziehungsweise die welt insgesamt befindet eigentlich schade dass sie ihrer verantwortung hier in keiner weise gerecht werden;criticism
criticism_aug_96;und zuckerabgaben kommen hinzu und es werden weitere erfunden ich zitiere eine zusätzliche quelle deutschland zahlte auch innerhalb der nettozahler einundsechzig milliarden euro mehr als sein angemessener nettobeitrag gewesen wäre deutschland wurde regelrecht ausgeplündert so der wissenschaftler willeke;criticism
criticism_aug_97;schlecht ist dass das den steuerzahler richtig viel geld kostet die verantwortung dafür tragen;criticism
criticism_aug_98;der kanzler selbst hat ja gewarnt und versprochen alles zu tun um eine eskalation zu verhindern die möglicherweise zu einem dritten weltkrieg oder gar atomkrieg;criticism
criticism_aug_99;rief alleine israel dazu auf maximale zurueckhaltung zu ueben und erwaehnte den terror der palaestinenser mit keinem einzigen wort die usa unter der vermeintlichen lichtgestalt joe biden huellen sich wie die europaeer in schweigen china stellt einen israelkritischen vier punkte plan vor und der moechtegernsultan vom bosporus stachelt antisemiten in deutschland auf und will israel eine lektion erteilen;criticism
criticism_aug_100;sehr geehrte frau praesidentin sehr geehrte kolleginnen und kollegen vorweg will ich an die adresse der afd eines ganz deutlich sagen in unserem land gilt das recht der bundesrepublik deutschland und gelten nicht die gesetze von clans und clanfamilien ich sage das in dieser deutlichkeit weil ihr antrag der antrag der afd fraktion in der oeffentlichkeit wieder einmal etwas anderes suggerieren will mit ihrem antrag versuchen sie ein zerrbild der realitaet in unserem land zu zeichnen;criticism
criticism_aug_101;die cdu steht ihnen im uebrigen in nichts nach herr merz sie haben ja selbst in der ard vom ende unseres wohlstandes fuer eine gewisse zeit gesprochen fuer mich hoert sich das so an als haette die cdu deutschland bereits aufgegeben und den glauben an sich selbst verloren denn loesungen haben die christdemokraten und heute auch sie herr merz nicht hervorgebracht sie haben kein wort zu den deutschen buergern gesagt kein wort zu den steuerzahlern in diesem land;criticism
criticism_aug_102;sie wollen aber den eindruck erwecken dass sich deutschland durch harte grenzkontrollen und eine lückenlose registrierung abschotten muss weil sonst eine flut von trittbrettfahren menschenhändlern vergewaltigern nach deutschland kommen könnte und über uns hereinbricht;criticism
criticism_aug_103;da haben sie unseren antrag wohl nicht begriffen entweder haben sie ihn selbst nicht gelesen oder sich ihn falsch erklären lassen es geht nicht darum dass wir das quorum absenken wollen für die wahl des bundeskanzlers sondern es geht schlicht und ergreifend um den wahlvorschlag also sie haben einfach am thema vorbeigeredet wie wir das von;criticism
criticism_aug_104;hass lassen sie mich hier sehr deutlich sagen es gilt null toleranz gegenüber jeder form von extremismus wegschauen und eine falsch verstandene kameradschaft darf es nicht geben wir werden extremisten konsequent verfolgen und sehr schnell aus der bundeswehr entfernen auch durch eine reform der soldatenrechtlichen vorschriften die jetzt sehr schnell kommen wird denn zu;criticism
