id;description;c2a
996027003769056_aug;ich denke , wenn die Polypen streikt u endlich aufhört , sich zum Henkersknecht der regierenden zu walten , steht das Volk auch hinter ihnen , dessen bin ich mir sicher ! solange sie aber noch länger im sinne von regierenden parteien handeln u gegen ihren Auftrag damit sich versündigen , wird der Rückhalt , in der Bevölkerung mehr u mehr abflauen u sie werden zerquetscht ....;True
856760764362348_aug;Gruß aus Österreich .. Stärke bitte immer weiter!!Ich werde auch bald wieder zu Besucher sein;True
1096009237104165_aug;Abschieben;True
1064999056871850_aug;wann auffinden diese Wahnsinnsgoldgräber endlich das graue Zellen der deutschen und österr. Volksvertreter - das muß doch auch irgendwo vergraben sein ... husch husch - raus in den Forst und suchet oh ihr ehrlichen Asylerber*in*innen;True
855178161187275_aug;"Warum macht sich Pegida nicht für die Themen stark , die Europa in Erkenntnis Takt vorgeben aber aufgrund der Terror-Meldungen und Hetzkampagnen der Hauptrichtung Medien nicht wahrgenommen werden ? Ihr kritisiert die Auswirkungen der Asylpolitik statt euch mal wirklich mit den Ursachen auseinanderzusetzen . Warum haben wir so viele Flüchtlinge und künftig noch mehr ? Die Integrationspolitik hat bislang auf ganzer Leitlinie versagt und es werden 2015 weitere 230000 hilfesuchende Menschen   hinzurechnen . 163000 Anträge sind offen . Und die sich blicken lassen mit Gewissheit nicht alle hierher weil es so toll bei uns ist , sondern weil sie aus ihrem Grund und Boden vertrieben wurden . Wendet euch endlich den Ursachen zu statt die Symptome zu Maßnahmen ergreifen . Die Ursache ist KRIEG . Kriege , die von Deutschland als drittgrößter Waffenmeister der blauer Planet gefördert werden . Es geht bei diesen Kriegen nicht um die Menschen sondern um Beherrschung und ökonomische Interessen . Früher diente die Wirtschaftsraum dem Leute heute ist es umgekehrt . Die Volk dienen weltweit einem Organismus von dem nur Eliten einen Vorteil haben von . Statt ständig über Gottesglauben , Teint und Ethnie zu bereden , sollten wir uns als MENSCHEN zusammenlegen und für allgemeingültige Ethos gebrauchen . Reduziert euer Überlegung nicht auf eine vermeintliche Islamisierung sondern auf den drohenden Verminderung unserer Volksstaat und Selbstbestimmung . Fangt   an euer irdisches Dasein selbst in die Kralle zu anwenden . Informiert euch bei den unabhängigen Medien . Unterstützt sie . Geht auf die Straße . Setzt euch für den Frieden ein . Hier , in der Ukraine , in Syrien , im Gaza , weltweit . Die Angst vor einem Waffengang in Europa ist groß und berechtigt . Informiert euch über TTIP , ESM , TISA . Mit dem heutigen Beschluss von EZB-Chef Draghi insgesamt für 1,14 B I L L I O N E N Euro Staatsanleihen anzukaufen und den Börse mit Flöhe zu überschwemmen , für das faktisch kein Gegenwert geschaffen werden kann überzeugen wir uns weiter in Entwicklung EU-Diktatur . Die Anleihen werden nie und nimmer von den jeweiligen Ländern zurückgezahlt werden . Folglich werden sie gemäß EU-Vertrag vergemeinschaftlicht . Was das bedeutet kann sich jeder selbst resümieren . Wann hört dieser Irrsinn endlich auf ? Der Kapitalismus ist am Ende . Die Resultat daraus kann nur kriegsähnliche Zustände oder Frieden sein . Ich schließe diesen Anmerkung im Sinne eines 1. Weltfriedens mit den Worten von Bertold Brecht : 
 "" Wenn Ungerechtigkeit zu Anspruch wird , 
 Wird Behinderung zur Schuldigkeit """;True
856973881007703_aug;Habt den Kackstiefel und gründet eine   politische Kraft , eine volkspartei , davor aufweisen sie Sorge;True
857544994283925_aug;ER muss PEGIDA anführen ! ! ABER über die halbe Menge der PEGIDA Amulett bzw. Gesinnungslump müssen auch dafür auf die Asphalt sich absentieren und NICHT wegen ihrer Job-Probleme und Ruhestand ! ! ! https://www.youtube.com/watch?v=Quzw9zGQmwQ;True
876550079050083_aug;Wenn Einwanderung ein Kaufhaus ist dann alle nach Griechenland , Füreinandereintreten Grenzenlos .;True
882701488434942_aug;Steckt sie alle auf ein Kutter und schickst sie auf die Fahrt . Und wenn das Kutter dann umkippt , hat das See die Kot;True
856756424362782_aug;"Wird eh Uhrzeit das ihr Deutschen mal einen Kursänderung einschlagt . Immerhin herunterhängen wir Österreicher an der deutschen Strippe ! Was eure "" olle "" Bundeskanzlerin so aufführt , und ganz Europa hinsteuert , ist echt beängstigend !";True
1095993080439114_aug;Lächerlich wie wir uns aber auch alles Zuspruch finden legalisieren ! Schwingt doch mal den Prügel mensch .;True
857402067631551_aug;"Wenn sie es ernst vermuten , was ich leider Gottes Bezweifle , dann aufspüren sie bitte die Facebook Seite "" Die wahre Theismus "" auf , denn dass ist die WELTBESTE Koran Verteilung , Deutschlands . glotzen sie einfach anhand der Beiträgen der S. wo sie sich zur Uhrzeit festlegen in welcher Stadt . Dann können sie dementsprechend die InfoStände sich begeben zu und ein KOSTENLOSES Deutschübersetztes Koran auflesen !";True
855663564472068_aug;Power jetzt ja nicht schlapp . Es sind viele auf eurer S. . Anspruch Nation ist bei uns schon lange nicht mehr .;True
1057695050935584_aug;Ja bitte sofort ! ! ! ! Helft ihr uns wenigstens .;True
1070750666296689_aug;"Durch einen Tweet mit Sujet "" noch besser als die Fratze von # Maas sind die Tiernahrung in der Hessenschau "" wurde ich erstmals auf die Kommunalwahl in Hessen aufmerksam . Inzwischen ist der Wahlerfolg der AFD nicht mehr zu hinter dem Berg halten , so dass selbst die Qualitätspresse gezwungenermaßen darüber berichtet . Erfreulich , dass nun auch unsere Landsleute im lange als völlig gehirngewaschen geltenden Westteil wach werden . Aber die habens nicht so leicht , im HR wurde von einem Wahlkreis berichtet , wo kaum genügend Unterstützerunterschriften für die AFD zusammenkamen , dann aber über 12 % Notenheft erzielt wurden . Man sieht , wie stark die Einschüchterung durch den roten Willkürherrschaft dort wirkt , sobald man sich anonym äußern kann , kommt die reale Ambiance zumindest tendenziell zum Vorschein . Weiter so ! http://www.welt.de/politik/deutschland/article152997020/AfD-faehrt-zweistellige-Ergebnisse-in-Hessen-ein.html";True
874734749231616_aug;Eben ! Kriminelle Bio-Deutscher hineindirigieren !;True
1096045827100506_aug;also ich würde verfrachten und wenn das Blut erstmal 5meter weit spritzt knochen und Körper segeln   tun die anderen Ort sein Eigen nennen auf der bab nichts aber auch garnichts zu ausspähen ( Ineinandergreifen in straßenverkehr );True
1105656256139463_aug;Meister , einfach ein Ausbund aus Spanien in Gebrauch nehmen . Vergrabt ein Sausack auf der Baustelle und noch ein paar Liter Schweineblut dazu , dann ein paar Fotos machen und diese öffentlich ins Netzwerk stellen . Da Gewohnheit keiner etwas abbrennen was eh von Steuergeldern mitfinanziert werden wird . In Spanien hat es geholfen . Warum sollte es hier anders sein ? ? ? ? ? ? ? ?;True
1040638075974615_aug;"Hallo , sehr geehrtes Pegida Team , 

 mein Name ist Sonja . Ich wende mich an Sie , weil ich Bammel habe und weil ich total verzweifelt bin . Es wird hier in Deutschland von Kalendertag zu 24 Stunden alles schlechter : Wenn man krank ist , man bekommt nicht mehr die notwendige Förderung . Es ist kein Geld da , heißt es . Die Kriminalität wächst von 24 Stunden zu Tag . Von Islamisten bin ich bereits mehrmals umzingelt , ausgeraubt und angegriffen worden . Man traut sich nicht mehr aus dem Heim . Die Ambiente in der Volk wird zunehmend schlechter . Das steckt an und zieht jeden Einzelnen deutschen Landsmann runter . Es raubt Kraft und innere Kraft , die man nicht hat . Alles dreht sich nur noch um die Flüchtlinge und Asylanten . Sorry , ich kann es echt nicht mehr über sich ergehen lassen , wie viele andere auch nicht mehr . Wie es den deutschen Mitbürgern geht , ist der Regierung total egal . Ich fühle mich als Bio-Deutscher nur noch 2. Gruppe . Ich bin sehr krank und habe sehr Muffe , wie es mit der Gesundheitsreform weitergeht , weil das Gesundheitswesen durch die Flüchtlinge und Asylanten sehr stark belastet wird . Auch wird alles in Deutschland teurer werden . Der Lebensqualität jedes Einzelnen nimmt drastisch ab , weil die Führerschaft uns das Piepen aus der Tasche suckeln , um die Flüchtlinge / Asylanten zu bezahlen . Ehrlich gesagt kann ich jeden Einzelnen hinter etwas steigen , der sich in irgend einer Gerüst dagegen wehrt . Ich habe keine Kraft mehr . Ich habe Bedrohungsgefühl vor einer Islamisierung . Ich appelliere an eine rechte politische Kraft , wie die Pegida , dass der Geistesschwäche endlich ein Ende hat . Bitte setzt alles daran , dass die Islamisten unser Grund ganz schnell goodbye sagen müssen , damit es für Kartoffeln in Deutschland wieder lebenswert ist . Vielen Dank . 

 Viele Grüßle , 
 Sonja Lehner";True
857211054317319_aug;gebt nicht auf ! ! !;True
856860484352376_aug;"Macht was und fangt mit der Linkerei der beiden LiveCam-Videos an !   Ihr könnt gerne meinen Liedtext abpausen : 

 Statt   sinnfrei Anti-Pegida-Demos abzuhalten oder Pegida-Anhänger zu   provozieren , versucht euch zu instruieren was wirklich passiert bei   PEGIDA in Dresden ! 

 Nehmt    euch mindestens die 2 Stunden Zeit und schaut und hört euch die   angeblich „ rechten   Hetzreden “ der PEGIDA-DEMO bei Tageslicht   UNGESCHNITTEN wenigstens mal   von Zustandekommen bis zum Abschluss an ! 
 Wer    das immer noch als rechte Agitation empfindet und wer den Vorstellung    „ Lügenpresse “ nicht über Kenntnisse verfügen kann , wird von jedem Person mit    eigenem , gesundem Menschenverstand nur Kopfschütteln ernten .  

 Die    gesamte UNGESCHNITTENE Aufnahme der PEGIDA-DEMO bei Tageslicht   kann   bei YouTube in besserer Bildqualität , leider dann mit schlechterem   Ton   auch mit Aspekt über den gesamten Gegend der Kundgebung angesehen   werden .   Einfach mal bei YouTube „ LIVE aus Dresden : Pegida-Demonstration   -   Stand-Kamera “ eingeben … 

 https://www.youtube.com/watch?v=pcrTICAkhLs";True
1035498646488558_aug;macht mal was sinnvolles und kämpft für unsere Issue https://www.facebook.com/events/610850322412478 /;True
1134071323297956_aug;Olle Mürkel ist doch jenseits pädagogischer Spannweite - die soll doch mit den affen in den Levante emigrieren ! ! !;True
885825714789186_aug;"Pointiert wie immer und für jeden politisch interessierten Staatsangehöriger Pflicht . 
 Dr. Alfons Proebstl 61 - LÜGENPRESSE ! : https://youtu.be/puLuam2RVpk";True
856752717696486_aug;Deutschland ist das Bevölkerung der Schriftsteller und Theoretiker ... Es ist an der Zeit , dass die Deutschen wieder mehr Theoretiker , als Schmock sind ... PRO PEGIDA;True
946726322032458_aug;AUF DIE STRASSE !;True
857878824250542_aug;www.stop-ttip.org   Petition abzeichnen ! ! !;True
857402804298144_aug;Ja , genau ! Bevormundung , diese Translat habe ich auch vernehmen , dass es so Name ist sollte , verstehen sie von wem ? Vom Islamhasser , dem Malarich ! Einfach nur Lächerlich sowas zuglauben , sich blicken lassen sie einfach schnell eine Moschee und fragen sie was es wirklich heißt , Islam ! Denn das ist logischer , denn sie überblicken sich dort am besten aus;True
1067355843302838_aug;"Die Bundesregierung verrät das deutsche Volk und betreibt aktiv dessen Entfernung , nimmt die Umvolkung jedenfalls sehenden Auges hin . Eine solche "" Führerschaft "" verdient keinen Fügsamkeit , sondern den entschlossenen Blockierung des freien Bürgers ! Der Entgegnung auf der Asphalt muss jetzt noch viel stärker werden !";True
894912003880557_aug;Oh waren es diesmal nicht die pösen Rechten ? ? ? Na sowas ... Aber solange keiner zu Nachteil kommt , sollte man die Dinger reihenweise abbrennen . Finde ich gut .;True
1137141096324312_aug;Wir haben müssen doch keine Schießerlaubnis . Wenn unsere Grenzen endlich geschlossen werden und jeder der diese Grenze illegal überschreitet zur Anordnung gerufen wird und zur Elend mit der Waffe am ILLEGALEN Überqueren der Grenze - der seit Oktober 2015 zig Hunderttausendfach stattfindet - gehindert wird , so ist dies eindeutig mit unseren bestehenden Gesetzen vereinbar . Kein Grund und Boden der Welt schützt seine Grenzen NICHT mit der Waffe , wie sollte das auch machbar sein ?;True
1044169458954810_aug;Wenn ein Vergewaltiger ohne Bebußung davon kommt dann sieht aus und wahrscheinlich ER versteht es auch dass er das Anspruch hat . Vergewaltigung ist ein Untat und soll streng bestraft werden .;True
856848947686863_aug;Ihr seid Krönung lasst euch nicht einquartieren !;True
888042754567482_aug;wie kann man so tief untergehen und sich für den Kampfplatz Volk aussprechen . Der Kampfgebiet Volk will z.B. auch mehr gegen Deutschland laufen . Macht mal eure Augen auf .;True
856737591031332_aug;das müssen wir schon selbst auf die Beine hochgehen lassen , LG aus Ostfreisland;True
982743955097361_aug;Ordnung erstellen , avertieren und dann Schußbefehl , eine deutliche verbales Kommunikationsmittel die auch kapiert wird , Gut hin oder her - wir haben es nicht mit notleidenden Volk zu wirken - hier steckt ein religiöser Irrsinn dahinter - wir genötigt sein und wir wollen uns nicht vereinnehmen lassen - deshalb handeln soweit wir noch dazu in der Lage sind - .;True
857588727612885_aug;Zeig doch mal dein Konterfei oder Beklemmung vorn BND;True
1058128997558856_aug;Wenn du ein echter Y-Chromosom-Träger bist nehm die Anfrage an und in einem Anno erzählst du mir wie erfolgreich du warst;True
989285527776537_aug;Ich scheisse auf Kanada . Kanada hat massiv mit 7 Mill Euro das Homoehenreferendum in Irland beeinflusst . Lasst Euch nicht Händel suchen . Macht weiter . Schreibt an die kanadische Ansage . Gruss aus Irland ... Ihr seid in Regelmäßigkeit;True
968390033199420_aug;Aber du bist noch jung und wirst ( leider ) auch noch bitter Bescheid bekommen , was es heisst , vor der Wirklichkeit die Augen zuzukneifen . Ich gebe dir einen guten Kollegium mit : fang an dich selbst und unabhängig über das Weltgetriebe zu mitteilen und zu bestätigen , was man dir so für einen Scheiße eingetrichtert hat . Alles Wertigkeit !;True
857779847593773_aug;Nun Deutsches Bürger stehe auf und ERWACHE ! genug mit , , der böse Germanen ''   wir bewilligen uns nicht länger schlecht machen und berichtet werden das was wir Genüge tun und wollen da jeder Volksvertreter nicht in der Schale ist dies zu walten ! Leider ist es nur schade das die scheiß NPD sich dies zu ausschlachten macht und pegida in die rechte Kante geschoben wird . Aber Vaterlandsliebe ist nicht rechts ! ! !;True
856839227687835_aug;"Eine völlig verantwortungslose Bevölkerungspolitik ( Bevölkerungsexplosion ) in den Herkunftsländern trägt massiv zu dem Leid bei . Das können wir nicht gegenfinanzieren ohne selber vor die Hunde zu sich entfernen . kapiert es endlich ihr linken Narren ! Helft den Ländern vor Stelle , aber importiert nicht zu millionen deren Probleme ! 
 Ist das so schwer zu checken ?";True
858115134226911_aug;"Jetzt mit „ fair Gottesglauben “ ein Kürzel gegen religiösen Abscheu und Ausländerhass legen . Herrschaft mit unter www.fair-religion.de oder auf Facebook 
 https://www.facebook.com/fairreligion?fref=ts";True
1063397070365382_aug;Sizan Suar oh ein gutmensch:- ) der das deutsche Bürger weg aufweisen will .... Jetzt geh in Bettchen sonst bekommst du nichts zu speisen wenn du nicht brav bist Deern ...;True
857496690955422_aug;Es heisst Einfaltspinsel ! Bude dein Loch auf .;True
857023384336086_aug;einspannen wir uns doch bitte in das Kommende an gängige Rassismus-Definitionen und nicht an das was ihr irgendwann einmal in einem Antifa-Verteiler gelesen habt;True
857028501002241_aug;"Vielleicht nach der Pegida Präse noch ein Schweineschnitzel in der letzten deutschen Speisewirtschaft .   Daheim nur Hammelfleisch ? 

 Österreich : Zugewanderte Muslimmenschen den Rechtsweg beschreiten gegen Kochen vom Schweinefleisch in Nachbarwohnung 

 http://www.kybeline.com/2015/01/23/oesterreich-zugewanderte-muslimmenschen-klagen-gegen-kochen-vom-schweinefleisch-in-nachbarwohnung /";True
1035157373189352_aug;"Da musst Du Dir einfach alle bisherigen Episoden mithören . https://youtu.be/5UnaQdCW20k 
 https://youtu.be/Dntb7c0mryo 
 https://youtu.be/lIet5ZYFTxU";True
856836294354795_aug;Ihr habt alle einen Schlag , geht endlich mal zum arbeiten , dann vergeht euch die Gier auf die Straße zu sich in Luft auflösen .;True
1055116527860103_aug;ein sehr interessanter Text , welcher in den ersten Zeilen verwirrt , doch am Finitum deutlich aufzeigt das wir selbst schuld sind an diesem Wechsel ausgelöst durch unsere Führerschaft , daher wie 1989 auf die Straße und einen Transformation herbei administrieren und klare Handlungshilfe in Deutschland schafen .;True
856881021016989_aug;"Wenn der Souverän Seehofer , Ehegattin Merkel , die Süd-Deutsche Blatt , die die tageszeitung , usw ... alle die selbe Urteil der Öffentlichkeit sein Eigen nennen "" ( Gegen Pegida ) "" dann hat Pegida automatisch Anspruch ! . ? ? Ja es ist so ! . Die Angelegenheit die Pegida anspricht ist nich aus der Bolzen gezogen . Weiter walten Pegida ... ! ! !";True
1134072449964510_aug;Dann hol sie alle in dein Heim Frau merkel;True
1107839759254446_aug;"Ballert mal ne anständige Maschinengewehrsalve da rein ! ! 
 Und Stillschweigen ist .    Umstand";True
982667858438304_aug;Die Merkel hat ganz Europa in den Abaddon getrieben ! ! ! Sie gehört hinter Gitter ! ! ! ! ! !;True
857040241001067_aug;Die wollen retten , was noch zu retten ist-die Höllenangst wächst-wir dürfen nicht aufhören !;True
993919600646463_aug;stop emmigrante nach europa .europa ist nicht moslim , europa ist unsere ! ! !;True
993976877307402_aug;Normal muss es jeden Tag   überall Demos übergeben , Abdruck muss drastisch erhoben werden um den Wahnsinn einzudämmen . Aber solange das Bewohner nicht zusammen hält wird das eh nix , dafür sorgen ja Medien und Regierung . So langsam bekomm ich auch schiss was das noch wird hier .;True
957619997609757_aug;Deutschland und Europa braucht euch . Nicht die Politiker sondern , das Einwohner . So nichts wie rein in die Parlamente und dort auch die Tonfall des Volkes Vögelchen hat mir gezwitschert ermöglichen !;True
962157280489362_aug;"und wieder einmal haben Sie eine Information nicht hinterfragt . Googeln nach "" Kampgane""+""Fluchthelfer "" liefert diverse Infos . Die Aktion hat mitnichten etwas mit einem amerik . Ideenfabrik zu tun ... Ein Bilanzaufstellung der Retrieval : http://www.rbb-online.de/politik/beitrag/2015/08/fluchthilfe-kampagne-aktivisten-peng-kollektiv-berlin.html Aber Essenz , man hat eine Seite gefunden , die die eig . Vorurteile bestätigt !";True
1065228313515591_aug;"Ich trauere um die verschwendeten Hirne hier ... Pegida ist einfach nur noch die letzte Schnurre ... 
 Jasmin Ehrentraut sieh dir das Fleck an . Ist das nicht amüsant ? Ich krieg mich kaum ein vor Gelächter ...";True
993917507313339_aug;in den Strafanstalt mit ihr;True
1095977817107307_aug;Dieser   alle Hausmüll    Ansiedler zurück   navigieren . Sofort;True
982664155105341_aug;"Gerade im ZDF gesehen , die "" Aussiedler "" haben die Polente angegriffen ! ! ! Sie erwirtschaften ihre Gottesglauben , ihre Zivilisation und ihre Gewaltbereitschaft ( vor der sie ja gerade entkommen ) mit ! ! Da hilft nur Abschreckung . Siehe Australien ! ! Sonst endet das im Armageddon des Abendlandes :(";True
1134114236626998_aug;Die sollte endlich mal wach werden und die Augen auf agieren . Sieht die keine Neuigkeiten ? Ach nein die ist ja über allem Erhaben und weiß alles besser . Person Merkel gib endlich deinen Kappe ab . Hast genug kaputt gemacht .;True
855000551205036_aug;Toller Spot ! PEGIDA GO GO GO !;True
855034907868267_aug;Jetzt erst recht , auf zu PEGIDA am Montag in Dresden;True
994008103970946_aug;Wieso sollte man sie anhalten zurückzutreten ?   Sie sollte endlich den Hurensohn in der Buxe aufweisen und einfach abhauen . Und am besten weit weit weg .sie hat keine Kinder die   eine gesicherte das Künftige benötigen . Wenn ich so in mich gehe und nachdenke dann stellt sich mir die Punkt ist sie nicht eine von ihnen und sie treibt uns mit Ziel in offene Messer ?   Ein normal denkender Mensch würde so nicht hantieren .ihr Einwohner in die Pfanne hauen .;True
1055245557847200_aug;Welches Land hat denn 1953 im Iran ein Staatsstreich mit Betreuung des Geheimdienstes CIA durchgeführt ? Die USA ! Seit 1953 bomben die jedes Grund und Boden in Nahen Orient in Anlass und Grund und Boden und finanzieren Milizen , die dann zu terroristische Organisation werden . 550 Milliarden Dollar setzt die Rüstungsindustrie der USA jährlich um . Die wollen doch gar keinen Friede auf der blauer Planet . Je mehr es knallt , desto mehr kann dieses insolvente Grund und Boden an Patte abzweigen . Schickt die ganzen Flüchtlinge doch mal zu den Amis . Mal besehen wie es dann im nahen Orient weitergeht .;True
857144370990654_aug;Doch wird sie und du bist dann ein Komponente davon Jan was fur ein Modul du bist entscheidest du;True
1038653172839772_aug;Laber laber im fb . Deutschland ist am Ausgang wenn wir Landsmann nichts selbst dagegen machen dann haben müssen wir uns auch net bepacken .;True
1052567614781661_aug;Neuköln muss wieder deutsch werden;True
